open,high,low,close,volume,thscode,time,thsname_cn,thsname_en,currency
44.93,45.17,43.93,44.4,17564400.0,000988.SZ,20250707,华工科技,NA,CNY
44.46,45.07,44.24,44.86,36862900.0,000988.SZ,20250708,华工科技,NA,CNY
46.48,48.21,46.25,47.24,62163400.0,000988.SZ,20250709,华工科技,NA,CNY
47.7,47.7,46.42,47.1,27710700.0,000988.SZ,20250710,华工科技,NA,CNY
46.92,47.1,46.22,46.26,25851600.0,000988.SZ,20250711,华工科技,NA,CNY
46.25,46.5,45.72,45.86,18986200.0,000988.SZ,20250714,华工科技,NA,CNY
46.11,48.58,46.09,48.19,56297400.0,000988.SZ,20250715,华工科技,NA,CNY
48.19,49.01,47.57,47.62,38698000.0,000988.SZ,20250716,华工科技,NA,CNY
47.62,50.42,47.51,49.47,45818400.0,000988.SZ,20250717,华工科技,NA,CNY
49.67,50.12,48.61,48.74,28674700.0,000988.SZ,20250718,华工科技,NA,CNY
48.43,48.74,47.64,48.09,29911300.0,000988.SZ,20250721,华工科技,NA,CNY
48.12,50.36,48.0,48.66,42318800.0,000988.SZ,20250722,华工科技,NA,CNY
48.15,48.32,47.62,47.95,24426700.0,000988.SZ,20250723,华工科技,NA,CNY
48.68,48.79,47.52,47.99,28870200.0,000988.SZ,20250724,华工科技,NA,CNY
48.0,48.09,47.33,47.77,19819100.0,000988.SZ,20250725,华工科技,NA,CNY
48.69,50.75,48.5,50.34,63865800.0,000988.SZ,20250728,华工科技,NA,CNY
49.95,51.41,49.62,51.36,46709000.0,000988.SZ,20250729,华工科技,NA,CNY
51.07,51.14,49.73,50.2,35158400.0,000988.SZ,20250730,华工科技,NA,CNY
50.85,52.26,50.16,50.48,55189400.0,000988.SZ,20250731,华工科技,NA,CNY
50.31,51.39,49.37,50.0,38707600.0,000988.SZ,20250801,华工科技,NA,CNY
49.57,50.41,49.44,49.98,24265800.0,000988.SZ,20250804,华工科技,NA,CNY
50.58,51.61,49.98,51.02,37810600.0,000988.SZ,20250805,华工科技,NA,CNY
50.74,51.5,50.63,50.94,24644200.0,000988.SZ,20250806,华工科技,NA,CNY
50.9,51.16,48.67,49.52,46335800.0,000988.SZ,20250807,华工科技,NA,CNY
49.36,50.04,49.13,49.35,20565700.0,000988.SZ,20250808,华工科技,NA,CNY
