================================================================================
[V1.18 0707 回测报告 - 仅触发信号]
================================================================================

改进说明:
1. 弱势震荡检测: 平开/低开后全天均线下 -> 禁止买入, 鼓励卖出
2. 45度斜率+均线穿越: 均线上下窜可低吸, 全天均线下不可低吸
3. 卖出幅度过滤: 幅度<0.3%不触发高抛

================================================================================
  002261 拓维信息
================================================================================
  全天最高分: 买0 (at ) / 卖0 (at )
  全天无触发信号

================================================================================
  588170 科创半导体ETF
================================================================================
  全天最高分: 买36 (at 10:13) / 卖134 (at 10:09)
  触发信号数: 141

  [09:45] SELL_HIGH 588170 科创半导体ETF 价格1.19 评分108
  [09:46] SELL_HIGH 588170 科创半导体ETF 价格1.20 评分65
  [09:47] SELL_HIGH 588170 科创半导体ETF 价格1.20 评分80
  [09:48] SELL_HIGH 588170 科创半导体ETF 价格1.20 评分112
  [09:49] SELL_HIGH 588170 科创半导体ETF 价格1.20 评分80
  [09:53] SELL_HIGH 588170 科创半导体ETF 价格1.20 评分64
  [09:54] SELL_HIGH 588170 科创半导体ETF 价格1.20 评分84
  [09:55] SELL_HIGH 588170 科创半导体ETF 价格1.20 评分52
  [09:56] SELL_HIGH 588170 科创半导体ETF 价格1.20 评分60
  [09:57] SELL_HIGH 588170 科创半导体ETF 价格1.20 评分82
  [09:58] SELL_HIGH 588170 科创半导体ETF 价格1.20 评分82
  [09:59] SELL_HIGH 588170 科创半导体ETF 价格1.20 评分82
  [10:00] SELL_HIGH 588170 科创半导体ETF 价格1.21 评分102
  [10:01] SELL_HIGH 588170 科创半导体ETF 价格1.21 评分87
  [10:02] SELL_HIGH 588170 科创半导体ETF 价格1.21 评分102
  [10:03] SELL_HIGH 588170 科创半导体ETF 价格1.21 评分77
  [10:04] SELL_HIGH 588170 科创半导体ETF 价格1.21 评分92
  [10:05] SELL_HIGH 588170 科创半导体ETF 价格1.21 评分117
  [10:06] SELL_HIGH 588170 科创半导体ETF 价格1.22 评分87
  [10:07] SELL_HIGH 588170 科创半导体ETF 价格1.22 评分114
  [10:08] SELL_HIGH 588170 科创半导体ETF 价格1.22 评分89
  [10:09] SELL_HIGH 588170 科创半导体ETF 价格1.22 评分134
  [10:10] SELL_HIGH 588170 科创半导体ETF 价格1.21 评分82
  [10:11] SELL_HIGH 588170 科创半导体ETF 价格1.21 评分90
  [10:13] SELL_HIGH 588170 科创半导体ETF 价格1.21 评分67
  [10:14] SELL_HIGH 588170 科创半导体ETF 价格1.22 评分79
  [10:15] SELL_HIGH 588170 科创半导体ETF 价格1.21 评分67
