trade_time,order_fill_time,btype,symbol,order_price,order_volume,side,volume,vwap,amount,fee,net_amount,cash_balance,posi_balance,posi_vwap,multiplier,margin_ratio,margin_change_amount
2026-04-26 14:07:34,,银证转入,,0.0,0,-,0,0.0,200000.0,0.0,200000.0,200000.0,0,0.0,1.0,1.0,0
2026-04-27 09:31:00,2026-04-27 09:31:00,买入开仓,SZSE.000988,117.30481719970703,800,多,800,117.316547681427,-93853.2381451416,14.077985721771238,-93867.31613086337,106132.68386913663,800,117.33414516357921,1.0,1.0,0
2026-04-28 09:31:00,2026-04-28 09:31:00,卖出平仓,SZSE.000988,117.20498657226562,100,多,-100,117.1932660736084,11719.326607360841,1.7578989911041258,11717.568708369738,117850.25257750637,700,117.33414516357921,1.0,1.0,0
2026-04-28 09:32:00,2026-04-28 09:32:00,卖出平仓,SZSE.000988,117.50447845458984,100,多,-100,117.49272800674439,11749.272800674438,1.7623909201011656,11747.510409754337,129597.7629872607,600,117.33414516357921,1.0,1.0,0
2026-04-29 09:31:00,2026-04-29 09:31:00,卖出平仓,SZSE.000988,114.81895446777344,100,多,-100,114.80747257232666,11480.747257232666,1.7221120885848997,11479.025145144082,141076.7881324048,500,117.33414516357921,1.0,1.0,0
2026-04-29 09:32:00,2026-04-29 09:32:00,买入开仓,SZSE.000988,115.33808898925781,100,多,100,115.34962279815673,-11534.962279815672,1.7302443419723508,-11536.692524157645,129540.09560824715,600,117.00627517657874,1.0,1.0,0
2026-04-29 09:34:00,2026-04-29 09:34:00,买入开仓,SZSE.000988,117.80398559570312,100,多,100,117.81576599426269,-11781.57659942627,1.7672364899139403,-11783.343835916183,117756.75177233097,700,117.12444134551917,1.0,1.0,0
2026-04-29 10:03:00,2026-04-29 10:03:00,卖出平仓,SZSE.000988,115.81729125976562,100,多,-100,115.80570953063965,11580.570953063965,1.7370856429595947,11578.833867421006,129335.58563975198,600,117.12444134551917,1.0,1.0,0
2026-04-29 10:17:00,2026-04-29 10:17:00,买入开仓,SZSE.000988,117.50447845458984,100,多,100,117.5162289024353,-11751.62289024353,1.7627434335365295,-11753.385633677068,117582.20000607491,700,117.18292920141225,1.0,1.0,0
2026-04-30 09:49:00,2026-04-30 09:49:00,买入开仓,SZSE.000988,115.96704864501953,100,多,100,115.97864534988403,-11597.864534988403,1.7396796802482604,-11599.60421466865,105982.59579140626,800,117.03456831957153,1.0,1.0,0
2026-04-30 09:50:00,2026-04-30 09:50:00,买入开仓,SZSE.000988,115.7274398803711,200,多,200,115.73901262435913,-23147.802524871826,3.4721703787307736,-23151.274695250555,82831.3210961557,1000,116.77892935090779,1.0,1.0,0
2026-04-30 09:52:00,2026-04-30 09:52:00,买入开仓,SZSE.000988,115.17835998535156,100,多,100,115.1898778213501,-11518.98778213501,1.7278481673202513,-11520.71563030233,71310.60546585338,1100,116.6360408920092,1.0,1.0,0
2026-04-30 10:12:00,2026-04-30 10:12:00,卖出平仓,SZSE.000988,115.37802124023438,200,多,-200,115.36648343811035,23073.29668762207,3.4609945031433105,23069.835693118926,94380.4411589723,900,116.6360408920092,1.0,1.0,0
2026-05-06 09:42:00,2026-05-06 09:42:00,买入开仓,SZSE.000988,123.99368286132812,100,多,100,124.00608222961425,-12400.608222961426,1.8600912334442137,-12402.46831419487,81977.97284477743,1000,117.37490511700317,1.0,1.0,0
2026-05-06 09:54:00,2026-05-06 09:54:00,买入开仓,SZSE.000988,125.26158142089844,200,多,200,125.27410757904053,-25054.821515808108,3.7582232273712157,-25058.57973903548,56919.39310574195,1200,118.69457071336554,1.0,1.0,0
2026-05-06 10:02:00,2026-05-06 10:02:00,买入开仓,SZSE.000988,124.48287963867188,100,多,100,124.49532792663574,-12449.532792663575,1.867429918899536,-12451.400222582473,44467.99288315947,1300,119.14221929124702,1.0,1.0,0
2026-05-07 09:39:00,2026-05-07 09:39:00,买入开仓,SZSE.000988,124.9221420288086,100,多,100,124.93463424301147,-12493.463424301148,1.874019513645172,-12495.337443814793,31972.65543934468,1400,119.55730180173994,1.0,1.0,0
2026-05-07 09:40:00,2026-05-07 09:40:00,买入开仓,SZSE.000988,124.95209503173828,100,多,100,124.96459024124145,-12496.459024124146,1.8744688536186218,-12498.333492977765,19474.321946366916,1500,119.91903734360913,1.0,1.0,0
