date,open,close,high,low,volume,amount,fetch_source,amount_raw,amount_source,cache_schema_version,cache_scan_mode,cache_saved_at
2025-10-09,44.44,44.87,45.02,44.44,16635.0,744859.8500000001,cache,744859.8500000001,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:51
2025-10-10,44.78,45.11,45.18,44.51,17648.0,792983.4666666668,cache,792983.4666666668,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:51
2025-10-13,44.64,45.19,45.47,44.29,23964.0,1077980.6,cache,1077980.6,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:51
2025-10-14,45.19,45.94,46.07,44.73,30855.0,1406370.9,cache,1406370.9,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:51
2025-10-15,45.91,45.96,46.19,45.58,22499.0,1032929.09,cache,1032929.09,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:51
2025-10-16,45.96,45.82,46.18,45.61,15798.0,724654.26,cache,724654.26,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:51
2025-10-17,45.78,45.83,46.13,45.69,18690.0,857559.4999999999,cache,857559.4999999999,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:51
2025-10-20,45.98,45.62,46.18,45.38,14061.0,642962.66,cache,642962.66,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:51
2025-10-21,45.68,45.21,45.73,45.19,13917.0,631507.07,cache,631507.07,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:51
2025-10-22,45.21,45.08,45.37,44.97,9667.0,436368.38000000006,cache,436368.38000000006,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:51
2025-10-23,45.23,45.19,45.27,44.98,13156.0,593949.5466666666,cache,593949.5466666666,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:51
2025-10-24,44.88,44.38,44.98,44.38,27100.0,1208118.0000000002,cache,1208118.0000000002,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:51
2025-10-27,44.36,44.5,44.78,44.19,20367.0,906127.83,cache,906127.83,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:51
2025-10-28,44.53,44.83,44.84,44.39,20534.0,917596.0133333332,cache,917596.0133333332,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:51
2025-10-29,44.83,44.49,44.83,44.35,13166.0,586633.0733333334,cache,586633.0733333334,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:51
2025-10-30,44.43,44.39,44.6,44.28,15331.0,681054.1233333332,cache,681054.1233333332,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:51
2025-10-31,44.48,45.08,45.14,44.38,26371.0,1183178.866666667,cache,1183178.866666667,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:51
2025-11-03,45.08,44.81,45.08,44.56,14375.0,644239.5833333333,cache,644239.5833333333,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:51
2025-11-04,44.8,44.78,45.06,44.67,12028.0,539295.4266666666,cache,539295.4266666666,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:51
2025-11-05,44.77,45.49,45.49,44.59,15107.0,682685.3300000001,cache,682685.3300000001,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:51
2025-11-06,45.49,45.3,45.49,45.2,13062.0,592100.4600000001,cache,592100.4600000001,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:51
2025-11-07,45.38,45.17,45.58,44.94,11209.0,506983.07,cache,506983.07,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:51
2025-11-10,45.16,45.76,45.78,44.95,17135.0,779585.3833333334,cache,779585.3833333334,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:51
2025-11-11,45.78,46.2,46.24,45.44,17808.0,818455.68,cache,818455.68,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:51
2025-11-12,46.19,46.18,46.86,46.01,18488.0,856918.8,cache,856918.8,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:51
2025-11-13,46.24,46.53,46.65,45.87,17898.0,829572.3,cache,829572.3,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:51
2025-11-14,46.48,46.63,46.96,46.38,17408.0,812199.2533333333,cache,812199.2533333333,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:51
2025-11-17,46.64,47.19,47.39,45.97,28387.0,1329930.95,cache,1329930.95,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:51
2025-11-18,47.24,47.13,47.63,46.96,22279.0,1052459.96,cache,1052459.96,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:51
2025-11-19,47.19,46.7,47.35,46.6,18917.0,886892.0166666666,cache,886892.0166666666,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:51
2025-11-20,46.62,47.26,47.52,46.52,16803.0,791421.3,cache,791421.3,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:51
2025-11-21,46.98,47.36,47.86,46.98,25158.0,1192489.2,cache,1192489.2,volume_hlc3_fallback,v4,daily,2026-06-17 10:18:51
