date,open,close,high,low,volume,amount,fetch_source,amount_raw,amount_source,amount_anchor_ratio,cache_schema_version,cache_scan_mode,cache_saved_at
2025-10-09,63.68,65.14,65.99,63.2,2616510.0,169488796.09999996,cache,169488796.09999996,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2025-10-10,64.34,60.64,64.79,60.05,2609551.0,161339839.82666668,cache,161339839.82666668,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2025-10-13,54.96,57.59,58.21,54.96,2672903.0,152141638.76,cache,152141638.76,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2025-10-14,58.64,54.85,59.81,54.39,2485991.0,140085592.85,cache,140085592.85,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2025-10-15,54.88,58.04,58.22,53.72,2425274.0,137416024.84,cache,137416024.84,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2025-10-16,57.88,59.04,61.44,57.57,2563255.0,152129184.25,cache,152129184.25,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2025-10-17,59.09,55.33,59.09,55.24,1792402.0,101366307.77333334,cache,101366307.77333334,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2025-10-20,56.7,56.99,57.69,56.28,1625196.0,92614502.72,cache,92614502.72,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2025-10-21,58.84,60.99,62.71,58.79,2929366.0,178193333.78,cache,178193333.78,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2025-10-22,59.94,59.95,60.99,59.37,1324250.0,79591839.16666667,cache,79591839.16666667,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
2025-10-23,59.14,59.98,60.29,58.12,1097410.0,65255656.63333333,cache,65255656.63333333,volume_hlc3_fallback,0.010400048394894605,v4,daily,2026-06-17 10:18:47
