title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Spectral volume models: Universal high-frequency periodicities in intraday trading activities,"L Wu, R Zhang, Y Dai",2026,7,"… In the Chinese stock market, the intraday trading volume … demonstrate this pattern using two representative stocks, Apple … -known intraday U shape (or W shape) in trading volumes. The …",3bCv52ePa5cJ,"L Wu, R Zhang, Y Dai - Management Science, 2026 - pubsonline.informs.org",['https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=4230610'],https://pubsonline.informs.org/doi/abs/10.1287/mnsc.2024.06215,unknown,unknown
Only strong short-term contrarian effect exists in Chinese stock market: The role of the T+ 1 trading mechanism,"B Zhang, H Zhu",2024,7,… and intraday return patterns for contrarian anomaly in the … the cumulative daily trading volume of a stock as a proportion … following day has an inverted U-shape and why the contrarian …,wBDRaYABP9oJ,"B Zhang, H Zhu - International Review of Economics & Finance, 2024 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S1059056024006452,unknown,unknown
An Examination of Informed Trades in China's Stock Market,D Sun,2023,0,"… examine the intraday pattern of informed trading behavior … This Chapter shows the intraday pattern of volume, volatility, … market and detect that these have an aggregated U-shape. After …",K_2Wt7vcjRwJ,D Sun - 2023 - search.proquest.com,['https://livrepository.liverpool.ac.uk/3172388/1/200687416_Aug2023.pdf'],https://search.proquest.com/openview/3fbbb6fdbc98d2a51c398dcbec03aa95/1?pq-origsite=gscholar&cbl=2026366&diss=y,unknown,unknown
Intraday volatility and volume in China's stock index and index futures markets,"Y Nishimura, B Sun",2015,6,"… intraday trading volume of the CSI 300 index, the figure presents an apparent Ushape along the trading … First, the intraday volume displays a clear intraday periodic pattern, whereas no …",M_7iCMPd1MQJ,"Y Nishimura, B Sun - Asia‐Pacific Journal of Financial Studies, 2015 - Wiley Online Library",[],https://onlinelibrary.wiley.com/doi/abs/10.1111/ajfs.12117,unknown,unknown
High-Frequency Periodicity in Trading Volume in the Chinese A-Share Market: Evidence from a Spectral Decomposition Approach,X Qian,2026,0,"… -level intraday patterns of trading volume in the Chinese A-share … periodicity—the Trading Volume Spectral Decomposition … U shape, there exist numerous minute-level periodic patterns…",aJAA5ZkG44wJ,"X Qian - 2026 2nd International Conference on Data Mining and …, 2026 - atlantis-press.com",['https://www.atlantis-press.com/article/126024589.pdf'],https://www.atlantis-press.com/proceedings/dmpm-26/126024589,unknown,unknown
Herding and positive feedback trading on property stocks,"R Tingyu Zhou, R Neng Lai",2008,33,… IPOs) by the mainland Chinese companies. Of these changes… a clue to why intraday volatility has a U-shape pattern. More … the average daily trading volume of the stock from both sides …,49L791puQKcJ,"R Tingyu Zhou, R Neng Lai - Journal of Property Investment & …, 2008 - emerald.com",[],https://www.emerald.com/jpif/article/26/2/110/228442,unknown,unknown
INTRADAY RETURNS AND THE DAY-END EFFECT: EVIDENCE FROM THE HONG KONG EQUITY MARKET.,YL Cheung,1995,56,"… In summary, a unique weekly seasonal pattern exists for the … stock return at the end ofthe trading day. The magnitudes ofthe standard deviations follow a U-shape curve for each trading …",6cU3PYYxEOAJ,"YL Cheung - Journal of Business Finance & Accounting, 1995 - openurl.ebsco.com",['https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1468-5957.1995.tb00891.x'],https://openurl.ebsco.com/contentitem/gcd:9512033120?sid=ebsco:plink:crawler-gcd&id=ebsco:gcd:9512033120&crl=c&jrnl=0306686X,unknown,unknown
Derivative spreads: Evidence from spx options,"J Cao, K Jacobs, S Ke",2024,5,"… the intraday patterns of spreads, implied volatilities, market order flows, and trading volume. … Stock spreads show a U-shape pattern during the day, while options spreads are the widest …",xEks_IqR5BgJ,"J Cao, K Jacobs, S Ke - 2024 - aeaweb.org",['https://www.aeaweb.org/conference/2024/program/paper/DFs2GZND'],https://www.aeaweb.org/conference/2024/program/paper/DFs2GZND,unknown,unknown
Is penny trading optimal for closed-end funds in China,"L Wei, D Shi",2002,3,… Indeed we find such a pattern of the intraday bid-ask spread … We examine the intraday volume distribution of the closed-end … The intraday order density ratio also shows a “U” shape or a “…,vfSB-prtUl0J,"L Wei, D Shi - Available at SSRN 392596, 2002 - papers.ssrn.com",['https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=392596'],https://papers.ssrn.com/sol3/papers.cfm?abstract_id=392596,unknown,unknown
"A Dynamic, Volume‐Weighted Average Price Approach Based on the Fast Fourier Transform Algorithm","H Li, X Ye",2013,7,… prediction is identifying and extracting its U-shaped pattern. … Because the trading time for the Chinese stock market is 4 … The intraday volume series graphically forms a U-shape. Except …,Y8JEOmO8lJ0J,"H Li, X Ye - Asia‐Pacific Journal of Financial Studies, 2013 - Wiley Online Library",[],https://onlinelibrary.wiley.com/doi/abs/10.1111/ajfs.12037,unknown,unknown
