title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
The “night effect” of intraday trading: Evidence from Chinese gold and silver futures markets,"G Ma, E Bouri, Y Xu, ZI Zhou",2025.0,2,… of intraday predictability is demonstrated by evidence showing that intraday reversals are … trading significantly alters intraday return predictability patterns of Chinese precious metals …,ioxYDm10-OEJ,"G Ma, E Bouri, Y Xu, ZI Zhou - Global Finance Journal, 2025 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S1044028325000110,unknown,unknown
The Intraday Heterogeneity and Risk Pricing Reversal Between Day and Night: Evidence from China,"L Zhang, H Zhang",2024.0,0,… intraday heterogeneity of risk pricing process in the Chinese stock market. Our research reveals that the financial assets in China exhibit intraday … across the intraday trading periods. We …,B8KqRmuhG6cJ,"L Zhang, H Zhang - Emerging Markets Finance and Trade, 2024 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.1080/1540496X.2024.2310029,unknown,unknown
"Overnight returns, daytime reversals, and future stock returns: Is China different?","MA Cheema, M Chiah, Y Man",2022.0,26,"… They suggest that the underlying reason behind this return predictability is that daytime … We choose the Chinese stock market for three reasons. First, the Chinese stock market is the …",2pvW5f2tIcEJ,"MA Cheema, M Chiah, Y Man - Pacific-Basin finance journal, 2022 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0927538X22001044,unknown,unknown
Overnight return reversal in the Chinese stock market,"B Zhang, R Zhang, B Xue",2025.0,6,"… Besides, taking a closer look at the intraday momentum, the return predictability comes … be reversal during the continuous trading period. As a supplement, we find that the predictability …",-UmDVadzoqAJ,"B Zhang, R Zhang, B Xue - Applied Economics, 2025 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.1080/00036846.2024.2387365,unknown,unknown
Research on information-driven trades in China,"J Tao, D Sun, Y Wu",2022.0,3,"… reversals for uninformed trades. The regression is presented in Equation (10) as follows: … First, to examine the intraday predictability we focus on how the last half-hour unexpected …",xvHwfey8pjoJ,"J Tao, D Sun, Y Wu - Journal of Global Information Management …, 2022 - igi-global.com",['https://www.igi-global.com/viewtitle.aspx?titleid=299326'],https://www.igi-global.com/article/research-on-information-driven-trades-in-china/299326,unknown,unknown
Mean Reversion in Trading Volume and Informational Efficiency: Evidence from China's Stock Market,"M Kang, Z Chen",2025.0,0,"… volume in the Chinese A-share market is not only mean-reverting but also predictably so. More … Additionally, future work could explore how macro announcements or intraday disclosure …",-7eVuyBIF6UJ,"M Kang, Z Chen - Available at SSRN 5336242, 2025 - papers.ssrn.com",['https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=5336242'],https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5336242,unknown,unknown
Marketability As Real Options: The Cross Sectional Variation of Overnight Returns in China,H Bai,2020.0,1,"… intraday and overnight return variations of anomalies including illiquidity, shortterm reversal, … to overnight returns dominated the positive predictability of intraday returns, showing an …",D58O8kGs8AcJ,"H Bai - Available at SSRN 3513658, 2020 - papers.ssrn.com",['https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=3513658'],https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3513658,unknown,unknown
Night trading momentum and determinants of predictability: Evidence from Chinese metal futures market,"E Bouria, G Mab, Y Xuc, ZI Zhoud",,0,"… reversal phenomenon in China’s metal futures markets7. Overall, the intraday momentum exists in Chinese … , we suggest that the intraday predictability in Chinese metal futures markets …",Bzt3ovQ7ruAJ,"E Bouria, G Mab, Y Xuc, ZI Zhoud - acfr.aut.ac.nz",['https://acfr.aut.ac.nz/__data/assets/pdf_file/0008/686816/4a-Z-Ivy-Zhou.pdf'],https://acfr.aut.ac.nz/__data/assets/pdf_file/0008/686816/4a-Z-Ivy-Zhou.pdf,unknown,unknown
Do China's agricultural futures overreact to US futures markets returns? Evidence from soybean and corn futures,"T Xiong, W Lv, G Fang, W Xia",2025.0,1,… Our results reveal that traders in China generally overreact to … of night trading implemented by China's futures exchanges … We discuss price reversal and overreaction in more detail in …,FXHzaHqJQzoJ,"T Xiong, W Lv, G Fang, W Xia - Australian Journal of …, 2025 - Wiley Online Library",[],https://onlinelibrary.wiley.com/doi/abs/10.1111/1467-8489.12616,unknown,unknown
High Frequency Trading and Intraday Momentum,"ZX Wu, H Zhu",2023.0,1,"… intraday momentum reflects under- or over-reaction, we compare the intraday the predictability of … the overreaction on the intraday basis can only last for one day; price reversals on the …",N7K0Lu8CexoJ,"ZX Wu, H Zhu - 2023 - efmaefm.org",['https://www.efmaefm.org/0EFMAMEETINGS/EFMA%20ANNUAL%20MEETINGS/2023-UK/papers/EFMA%202023_stage-4455_question-Full%20Paper_id-31.pdf'],https://www.efmaefm.org/0EFMAMEETINGS/EFMA%20ANNUAL%20MEETINGS/2023-UK/papers/EFMA%202023_stage-4455_question-Full%20Paper_id-31.pdf,unknown,unknown
