title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Marketing 'Brand China': Maintaining the Momentum–'The Middle Kingdom'Resurgent and Resplendent,JA Mangan,2013.0,4,"… pensions – and urged others to reduce their social spending.… For an exceptional, and by extension, illuminating discussion of … The analogous extension of this preoccupation to China’s …",edIQIJ3zde8J,"JA Mangan - The International Journal of the History of Sport, 2013 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.1080/09523367.2013.807123,unknown,unknown
"Queueing for a lottery: limit-up gaming, retail coordination, and the registration-based listing reform in China",W Butuan,,0,"… We study limit-up gaming in Chinese A-shares using 5.84 … the February 2023 extension of registration-based listing to the … 2023 main-board extension, we estimate the causal effect of …",Yb68Bnw12O8J,W Butuan - Available at SSRN 7439067 - papers.ssrn.com,['https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=7439067'],https://papers.ssrn.com/sol3/papers.cfm?abstract_id=7439067,unknown,unknown
"Herding, Momentum, and Reversal in China's A-Share Market: An Agent-Based Network Model with Information Diffusion",J Weng,2026.0,0,… Momentum and reversal are two prominent manifestations of this departure: recent winners and losers may continue along … To reduce the influence of skewness before measuring tail …,fgptBriakHoJ,"J Weng - arXiv preprint arXiv:2607.27063, 2026 - arxiv.org",['https://arxiv.org/pdf/2607.27063'],https://arxiv.org/abs/2607.27063,unknown,unknown
Can price limits help when the price is falling? Evidence from transactions data on the Shanghai Stock Exchange,"LIU Bo, Z Yong",2009.0,69,"… significant price continuation during post-ceiling hits whereas after floor limit hits, … limit hits from those at true limit hits would enable us to remove the effects due to possible momentum …",quoaWUaxSjsJ,"LIU Bo, Z Yong - China Economic Review, 2009 - Elsevier",['https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=1089855'],https://www.sciencedirect.com/science/article/pii/S1043951X08000680,unknown,unknown
Does Cross-Asset Time-Series Momentum Truly Outperform Single-Asset Time-Series Momentum? New Evidence from China's Stock and Bond Markets,"X Wang, F Zhang",,0,… large-cap stocks is shorter than that of small/mid-cap stocks. … -series momentum persistence is relatively short in China's market… The alternative decision ensures continuity in the strategy …,AQgtClaQuTgJ,"X Wang, F Zhang - New Evidence from China's Stock and Bond Markets - papers.ssrn.com",['https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=5170379'],https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5170379,unknown,unknown
Geopolitical Risk in a Momentum-Screened Equity Portfolio: Stress Testing with QuantPath,K Patel,2026.0,0,"… A portfolio screened for momentum, volatility, and liquidity and optimized for maximum Sharpe … Holdings tagged with Taiwan semiconductor or China manufacturing exposure produced …",qufGvLjU9WkJ,"K Patel - Available at SSRN 7399219, 2026 - papers.ssrn.com",['https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=7399219'],https://papers.ssrn.com/sol3/papers.cfm?abstract_id=7399219,unknown,unknown
Low-momentum anticorrelated electron emission in mid-infrared double ionization of argon,"S Liu, Z Yuan, D Ye",2026.0,0,"… Since Up ∝ Iλ2, longer wavelengths increase the maximum … The spectra continue to follow the backscattering-like branch … high-momentum part of the distribution while the larger Up …",TjwyC4CISjgJ,"S Liu, Z Yuan, D Ye - Chinese Physics B, 2026 - iopscience.iop.org",[],https://iopscience.iop.org/article/10.1088/1674-1056/ae85fb/meta,unknown,unknown
Pushing Renminbi internationalization to inject new growth momentum into the BRI,"W Jiaqiang, L Shuping",,0,"… and relaxing trading restrictions, China can facilitate trading and … At the same time, China should move more quickly to shore up … China should continue to expand the volume of bilateral …",6-Umlm3AVDEJ,"W Jiaqiang, L Shuping - Financing China's Belt and Road Initiative - api.taylorfrancis.com",[],https://api.taylorfrancis.com/content/chapters/edit/download?identifierName=doi&identifierValue=10.4324/9781003107392-11&type=chapterpdf,unknown,unknown
Rising star: China's new security diplomacy,B Gill,2010.0,583,"… in 2007, China’s burgeoning importance has only continued. The … more compelling with China’s continuing economic growth … This camp recognizes the limits on Chinese power and that …",A0IoWfeAkYcJ,B Gill - 2010 - books.google.com,[],https://books.google.com/books?hl=en&lr=&id=lXkvEIUmg68C&oi=fnd&pg=PP1&dq=limit+up+momentum+China+continuation&ots=-3R7eYcuTB&sig=ohpMs25e8n8Slbw8_Ro09ma6oLc,unknown,unknown
Search for electroweak production of charginos and sleptons decaying into final states with two leptons and missing transverse momentum in  pp …,ATLAS Collaboration atlas. publications@ cern …,2020.0,319,… No significant deviations from the Standard Model expectations are observed and limits at 95% confidence level are set on the masses of relevant supersymmetric particles in each of …,8ymuTv6gV2QJ,"ATLAS Collaboration atlas. publications@ cern … - The European Physical …, 2020 - Springer",['https://link.springer.com/content/pdf/10.1140/epjc/s10052-019-7594-6.pdf'],https://link.springer.com/article/10.1140/epjc/s10052-019-7594-6?wt_mc=Internal.Event.1.SEM.ArticleAuthorIncrementalIssue&utm_source=ArticleAuthorIncrementalIssue&utm_medium=email&utm_content=AA_en_06082018&ArticleAuthorIncrementalIssue_20200217,unknown,unknown
