title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Overnight information and anomalies,"J Xie, W Xia, B Gao",2025.0,1,"… , we find that overnight anomalies in China's A-share market can … stock returns on overnight anomalies in China's A-share is … between overnight returns and subsequent intraday returns, …",z1Z4VZBlLswJ,"J Xie, W Xia, B Gao - Research in International Business and Finance, 2025 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0275531925002752,unknown,unknown
Overnight-intraday mispricing of Chinese energy stocks: A view from financial anomalies,"M Zhou, X Liu",2022.0,5,"… trading strategies in the cross-section of energy industry stock returns in China. As for the … Stocks with prices below ¥1 a share are excluded from the sample. For each firm i, at one …",Klawfk0fVDgJ,"M Zhou, X Liu - Frontiers in Energy Research, 2022 - frontiersin.org",['https://www.frontiersin.org/journals/energy-research/articles/10.3389/fenrg.2021.807881/pdf'],https://www.frontiersin.org/journals/energy-research/articles/10.3389/fenrg.2021.807881/full,unknown,unknown
The Return-risk Relationship in China's A-share Market: A Study Based on Overnight and Intraday Periods,"Y GAO, H REN, X XIONG",,0,"… types between the intraday and overnight periods, innovatively … studies the risk-return relationship in China. Specifically, we … stock returns and find positive correlations from the daily …",4aagnRkHoLsJ,"Y GAO, H REN, X XIONG - China Journal of Econometrics - sciengine.com",[],https://www.sciengine.com/doi/10.12012/CJoE2024-0232,unknown,unknown
Only strong short-term contrarian effect exists in Chinese stock market: The role of the T+ 1 trading mechanism,"B Zhang, H Zhu",2024.0,7,… method which groups stocks into return intervals rather than … -term contrarian effect in the China's A-share market. Our sample … their analysis of overnight and intraday return patterns for …,wBDRaYABP9oJ,"B Zhang, H Zhu - International Review of Economics & Finance, 2024 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S1059056024006452,unknown,unknown
OVERNIGHT SENTIMENT DIVERGENCE AND OPENING PRICE FORMATION: EVIDENCE FROM RETAIL INVESTOR TEXT,"J NIU, I IBRAHIM, YAO YANG, MS JAAFAR…",2026.0,0,… China’s A-share market; this research study constructs an entropy-based measure of overnight … beyond the opening period or reverse during intraday trading. Another is to explore how …,RD0gnWDK_pAJ,"J NIU, I IBRAHIM, YAO YANG, MS JAAFAR… - Quantum Journal of …, 2026 - mail.qjssh.com",['https://mail.qjssh.com/index.php/qjssh/article/download/1268/947'],https://mail.qjssh.com/index.php/qjssh/article/view/1268,unknown,unknown
The pricing of ESG: evidence from overnight return and intraday return,"X Liu, C Yang, Y Chao",2022.0,9,"… Our sample consists of all listed A-share stocks in China. Daily stock data, Fama–French five factors, turnover, size (market capitalization), BM (book-to-market) ratio, Amihud (2002) …",J_OK-HYYy4UJ,"X Liu, C Yang, Y Chao - Frontiers in environmental science, 2022 - frontiersin.org",['https://www.frontiersin.org/journals/environmental-science/articles/10.3389/fenvs.2022.927420/pdf'],https://www.frontiersin.org/journals/environmental-science/articles/10.3389/fenvs.2022.927420/full,unknown,unknown
When Does China Price US Market Moves? State-dependent Intraday Transmission to A-Shares,Y Wei,2026.0,0,"… A-share market data from Wind Information. The US series provides the preceding US market movement, while the Chinese data provide intraday return … That overnight window contains …",6FwjP2zroO4J,"Y Wei - State-dependent Intraday Transmission to A-Shares …, 2026 - papers.ssrn.com",['https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=7407698'],https://papers.ssrn.com/sol3/papers.cfm?abstract_id=7407698,unknown,unknown
Transitory price changes in the Chinese stock markets,"Z Zhang, H Nemiroff, J Wang, K Karim",2007.0,2,… of the overnight return with the following daytime return is … mechanism change produces no effect on intraday return volatility. … The leading benchmark in China is the Shanghai A-share …,iOVoSuu_0pkJ,"Z Zhang, H Nemiroff, J Wang, K Karim - Review of Pacific Basin …, 2007 - World Scientific",['https://www.researchgate.net/profile/Khondkar-Karim/publication/23751581_Transitory_Price_Changes_in_the_Chinese_Stock_Markets/links/5565b8ba08ae06101abe40fd/Transitory-Price-Changes-in-the-Chinese-Stock-Markets.pdf'],https://www.worldscientific.com/doi/abs/10.1142/S0219091507001185,unknown,unknown
Detecting Asymmetric Effects in the Overnight and Intraday Dynamics: Evidence from China'S Stock Market,"X Zhao, M Lv, X Wen",,0,"… In China’s A-share markets, there are distinct associations between the Fama-French five-factor betas and expected returns during overnight and intraday periods. Specifically, the …",IWYLRKL-FWcJ,"X Zhao, M Lv, X Wen - Available at SSRN 4869653 - papers.ssrn.com",['https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=4869653'],https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4869653,unknown,unknown
Revisiting the Idiosyncratic Volatility Puzzle in China: Evidence from Deep Learning Models,"L Wu, X Zhang, Z Zhao, Y Zhu",2026.0,0,"… stock returns into overnight and intraday components. Across … overnight returns and significantly positive intraday returns. … institutional features of the Chinese A-share market, micro-…",8gO4Ps1dMk8J,"L Wu, X Zhang, Z Zhao, Y Zhu - Available at SSRN 6147769, 2026 - papers.ssrn.com",['https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=6147769'],https://papers.ssrn.com/sol3/papers.cfm?abstract_id=6147769,unknown,unknown
