title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
The overnight return puzzle and the “T+ 1” trading rule in Chinese stock markets,"K Qiao, L Dam",2020,87,"… particular arrangement in Chinese stock markets explains the puzzle: the “T+1” trading rule. … Distinct from previous studies, we highlight the fact that the T+1 trading rule has asymmetric …",IkRRCkJ092IJ,"K Qiao, L Dam - Journal of Financial Markets, 2020 - Elsevier",['https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=3418356'],https://www.sciencedirect.com/science/article/pii/S1386418120300033,unknown,unknown
A unique “T+ 1 trading rule” in China: Theory and evidence,"M Guo, Z Li, Z Tu",2012,67,"… the effects of the “T + 1 trading rule”. Compared to the “T + 0 trading rule”, which allows investors to buy and sell the same stocks during the same day, we show that the “T + 1 trading …",86IL6jTuA6gJ,"M Guo, Z Li, Z Tu - Journal of Banking & Finance, 2012 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0378426611002561,unknown,unknown
Reinforcement learning for stock prediction and high-frequency trading with T+ 1 rules,"W Zhang, T Yin, Y Zhao, B Han, H Liu",2022,39,"… Because of the T+1 trading rules of the Chinese stock market, we consider the constraint of limited short position in the reward function. Finally, a reward-enhanced upper confidence …",HwFXa6RSu8MJ,"W Zhang, T Yin, Y Zhao, B Han, H Liu - IEEE Access, 2022 - ieeexplore.ieee.org",['https://ieeexplore.ieee.org/iel7/6287639/10005208/09852239.pdf'],https://ieeexplore.ieee.org/abstract/document/9852239/,unknown,unknown
Does the T + 1 rule really reduce speculation? Evidence from Chinese Stock Index ETF,"X Chen, Y Liu, T Zeng",2017,23,"… distinct effects of the T + 1 versus T + 0 rule upon China’s stock market, including their impacts … more meaningful information for the policy debate on trading rules. Our empirical strategy …",JLmboMst6n8J,"X Chen, Y Liu, T Zeng - Accounting & Finance, 2017 - Wiley Online Library",['https://www.liuyanecon.com/wp-content/uploads/T1ETF_pubv.pdf'],https://onlinelibrary.wiley.com/doi/abs/10.1111/acfi.12330,unknown,unknown
Only strong short-term contrarian effect exists in Chinese stock market: The role of the T+ 1 trading mechanism,"B Zhang, H Zhu",2024,7,… the special T+1 trading mechanism of China's stock market is … This paper argues that China's unique T+1 trading mechanism … The logic of the paper is that the T+1 trading mechanism …,wBDRaYABP9oJ,"B Zhang, H Zhu - International Review of Economics & Finance, 2024 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S1059056024006452,unknown,unknown
The “T+ 1” Trading Rule and Put‐Call Disparity in China,"H Yang, Z Chen, X Zhang, Y Xu",2025,3,… This phenomenon has been attributed to the unique “T+1” trading rule in the Chinese stock market. We turn the studies to the Chinese stock and options markets. Our article uses the …,6F0JzlGSZxkJ,"H Yang, Z Chen, X Zhang, Y Xu - Journal of Futures Markets, 2025 - Wiley Online Library",[],https://onlinelibrary.wiley.com/doi/abs/10.1002/fut.70039,unknown,unknown
Does a unique “T+ 1 trading rule” in China incur return difference between daytime and overnight periods?,"X Diao, H Qiu, B Tong",2018,14,"… The “T+1 trading rule” requires investors to sell stocks they purchased at least … , “T+1 trading rule,” risks and so on are possible reasons that may lead to discrepancies in stock index and …",rZY2vZM0CL4J,"X Diao, H Qiu, B Tong - China Finance Review International, 2018 - emerald.com",[],https://www.emerald.com/cfri/article/8/1/2/41232,unknown,unknown
Do We Need to Recover T + 0 Trading? Evidence from the Chinese Stock Market,"Y Wu, F Qin",2015,19,"… ABSTRACT: In this study, we examine the effects of a change in the day trading rule from T + 0 to T + 1 for B-shares in Chinese stock market. We remove the influence of adjusting stamp …",75zBd87LyTcJ,"Y Wu, F Qin - Emerging Markets Finance and Trade, 2015 - Taylor & Francis",[],https://www.tandfonline.com/doi/abs/10.1080/1540496X.2015.1080495,unknown,unknown
Analysis of the spot market's T+ 1 trading system effects on the stock index futures market,"J Liang, Y Cui, W Zhang, Y Zhang",2017,12,"… T+1 trading system in spot market is a Chinese problem left … For the stock index futures are generated based on the stock, … ’s the impact of the Chinese special T+1 trading system in spot …",FHvvhA1_QtgJ,"J Liang, Y Cui, W Zhang, Y Zhang - Eurasia Journal of Mathematics …, 2017 - ejmste.com",['https://www.ejmste.com/download/analysis-of-the-spot-markets-t1-trading-system-effects-on-the-stock-index-futures-market-5157.pdf'],https://www.ejmste.com/article/analysis-of-the-spot-markets-t1-trading-system-effects-on-the-stock-index-futures-market-5157,unknown,unknown
Testing the performance of technical trading rules in the Chinese markets based on superior predictive test,"S Wang, ZQ Jiang, SP Li, WX Zhou",2015,23,"… the trading rules in our strategy on two important indexes (SSCI and CSI 300) in the Chinese stock … the performance of trading rules based on the Sharpe ratio, (3) < f k s > = 1 n ∑ t = R …",9eEWB80v-CgJ,"S Wang, ZQ Jiang, SP Li, WX Zhou - Physica A: Statistical Mechanics and …, 2015 - Elsevier",['https://arxiv.org/pdf/1504.06397'],https://www.sciencedirect.com/science/article/pii/S0378437115006391,unknown,unknown
