title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
开盘对隔夜信息的揭示效率——基于A 股和H 股的实证研究,王春峰， 张颖洁， 房振明,2011,1,… 还是H 股袁公司规模越大袁开盘阶段的信息揭示效率越高曰两市场开放度尧成熟度尧市场结 构… 股开盘阶段的信息揭示效率高于A 股遥 关键词院开盘集合竞价曰隔夜信息曰信息揭示曰A+H 股 …,gjoXtHUx6_wJ,"王春峰， 张颖洁， 房振明 - 北京理工大学学报(社会科学版), 2011 - journal.bit.edu.cn",[],https://journal.bit.edu.cn/sk/cn/article/id/20110210,unknown,unknown
中国股票市场开放式集合竞价对波动性影响的实证研究,许香存， 李平， 曾勇,2007,11,,WKWu_PUkky0J,"许香存， 李平， 曾勇 - 金融研究, 2007",[],,unknown,unknown
集合竞价过程中信息揭示的理论分析,王艳， 孙琳满， 杨忠直,2005,6,,BWLzojrBuhgJ,"王艳， 孙琳满， 杨忠直 - 电子科技大学学报, 2005",[],,unknown,unknown
股票市场透明度对价格发现效率的影响——基于开盘竞价方式转变的事件研究,张肖飞， 李焰,2013,3,,IIw0DL8fTWMJ,"张肖飞， 李焰 - 系统工程理论与实践, 2013",[],,unknown,unknown
封闭式与开放式集合竞价机制下的价格发现分析,李平， 曾勇,2006,16,,9CH9ewmaRxMJ,"李平， 曾勇 - 系统工程理论与实践, 2006",[],,unknown,unknown
开盘集合竞价透明度与市场质量,张肖飞,2010,2,,KUid0BP5A5sJ,"张肖飞 - 广东金融学院学报, 2010",[],,unknown,unknown
收盘集合竞价透明度增加的效应分析——基于深圳中小企业板的实证研究,许香存， 李平， 曾勇,2012,0,,tC-CZvmIvs0J,"许香存， 李平， 曾勇 - 管理评论, 2012",[],,unknown,unknown
如何看开盘价,三石,1994,0,,rsQ8Lpl7gjsJ,"三石 - 投资北京, 1994",[],,unknown,unknown
股市信息透明度与市场质量: 一个文献综述,张肖飞,2013,0,,sTHDbQpXjbsJ,"张肖飞 - 金融评论, 2013",[],,unknown,unknown
交易信息含量与资产定价: 来自A 股的经验证据,朱元琪， 刘善存,2010,2,,G997Dk5pyGIJ,"朱元琪， 刘善存 - 系统工程, 2010",[],,unknown,unknown
