title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
首日涨停板制度与IPO 解禁效应——基于投机泡沫视角的分析,唐斯圆， 宋顺林,2020,5,"… 涨幅都在44%左 右,新股上市后出现连续涨停现象.该政策实施… 后第30个交易日收盘价(IROP1)和开板日(打开涨板之日)收盘价 (… 首日涨停板与否的期间来看,首日涨停板期间的累积异常收益在…",w9Jf__6G2bQJ,"唐斯圆， 宋顺林 - 金融研究, 2020 - jryj.org.cn",['http://www.jryj.org.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=737'],http://www.jryj.org.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=737,unknown,unknown
日频投资者情绪对A 股短线收益率的影响研究,张淇玮， 谢昌财， 程同林,2024,0,"… 高度是沪深两市连续涨停天数最多的股票的截至当天的涨停天数,可以一定程度上 影响投资… 涨停的概率就更高,投资者就更愿意打板,打 连续涨停板.当然,高度只是提供了空间,并不代表连续涨停…",xtAFPX6r0MoJ,"张淇玮， 谢昌财， 程同林 - Operations Research and Fuzziology, 2024 - pdf.hanspub.org",['https://pdf.hanspub.org/orf2024142_51701452.pdf'],https://pdf.hanspub.org/orf2024142_51701452.pdf,unknown,unknown
近端次新股开板后异常收益率行为实证研究,肖智好,2021,0,,sUYInjrkrZkJ,肖智好 - 2021 - 西南财经大学,[],,unknown,unknown
阳春阳和ST 黑色黄金(三),山明,2005,0,,q8HyQZX625gJ,"山明 - 股市动态分析, 2005",[],,unknown,unknown
中国股票交易非理性投资与股市断崖式暴跌现象探析,傅佑全,2015,2,,IwDPMWCwXGgJ,"傅佑全 - 内江师范学院学报, 2015",[],,unknown,unknown
技巧篇: 牛市中的追涨策略,王瞬,2006,0,,H-zU3H55xBoJ,"王瞬 - 私人理财, 2006",[],,unknown,unknown
证券市场的反应不足和反应过度,薛志国,2017,0,,x6mP73flgMcJ,"薛志国 - 企业改革与管理, 2017",[],,unknown,unknown
如何穿越“牛” 与“熊”,李明祥,2012,0,,rIbRT-NIwDsJ,"李明祥 - 投资北京, 2012",[],,unknown,unknown
区域概念成主题投资热点,听月楼,2009,1,,1-Jxxf9_XOEJ,"听月楼 - 证券导刊, 2009",[],,unknown,unknown
A 股市场的奇葩故事,刘韵甜,2016,0,,fb7lwNdaR1wJ,"刘韵甜 - 现代阅读, 2016",[],,unknown,unknown
