title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
中国股市涨跌幅限制下的统计特性,胡游柔,2023,0,"… 研究结果表明中国股市普遍存在磁吸效应;磁吸效应在涨,跌幅… 支股票的每日三分钟高频数据,研究中国股票市场涨跌幅限制的统计特性,发现小市值的股票相对于大 市值的股票更容易发生涨跌停…",XJVNJRtbTzQJ,"胡游柔 - Advances in Applied Mathematics, 2023 - pdf.hanspub.org",['https://pdf.hanspub.org/aam20230900000_36441560.pdf'],https://pdf.hanspub.org/aam20230900000_36441560.pdf,unknown,unknown
我国股票市场熔断机制的磁力效应: 基于自然实验的证据,杨晓兰， 金雪军,2017,2,"… 之间#熔断机制和涨跌停板制度存在叠加效应#订单流不平衡性… 熔断机制的磁力效应存在从沪深2"""" 成分股向非成分股的溢 出% … 效应产生影响% 关键词:熔断机制(股票市场(磁力效应(涨跌停…",fIYXhpxiBzgJ,"杨晓兰， 金雪军 - 金融研究, 2017 - jryj.org.cn",['http://www.jryj.org.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=38'],http://www.jryj.org.cn/CN/Y2017/V447/I9/161,unknown,unknown
AH 股溢价能影响股票未来收益率吗?,万谍， 何奕扬,2024,3,"… 涨跌停制度不但没有发挥市场稳定器的作用, 反而导致A 股市场整体呈现 高波动特征, 对于交叉上市的股票, 同一公司A 股的波动率明显高于H 股. … 基于反事实模拟的中国股市涨跌停板磁吸效应…",YqrA9IK9v3oJ,"万谍， 何奕扬 - 计量经济学报, 2024 - sciengine.com",['https://www.sciengine.com/parse/pdf/2096-9732/FB8968A058D64488A4D3D5671B2015F6.pdf'],https://www.sciengine.com/parse/pdf/2096-9732/FB8968A058D64488A4D3D5671B2015F6.pdf,unknown,unknown
"晶片島上的光芒: 台積電, 半導體與晶片戰, 我的30 年採訪筆記",林宏文,2023,2,"… 他說,台積電是專做晶圓代工,當時每股十五元,問我母親是否有興趣.在那個台股正要邁向萬點的… 激烈競爭也來自群聚效應,當所有競爭同業的員工,不是前同事,就是同學或學長姊學弟妹時,在頻繁…",tU4z7ymThNUJ,林宏文 - 2023 - books.google.com,[],https://books.google.com/books?hl=zh-CN&lr=&id=ylHOEAAAQBAJ&oi=fnd&pg=PT41&dq=%E6%B6%A8%E8%B7%8C%E5%81%9C+%E7%A3%81%E5%90%B8%E6%95%88%E5%BA%94+A%E8%82%A1&ots=T92XpVwe80&sig=BoA9VPjeC7CF6QajjBda7VMfIi0,unknown,unknown
《 智慧改變人生》,陳武剛,2018,0,"… 蜜蜂在不停地重复着它们认为合乎逻辑的行动.殊不知它们的 观念… 有形的财富时有涨跌,并不稳定;而心灵的成长,会像磁铁般牢牢 地… 因此,欧,美和亚洲的大企业,纷纷掀起一股为员工减压 的心灵…",TV5owjJy7BwJ,陳武剛 - 2018 - books.google.com,[],https://books.google.com/books?hl=zh-CN&lr=&id=akRbDwAAQBAJ&oi=fnd&pg=PA1&dq=%E6%B6%A8%E8%B7%8C%E5%81%9C+%E7%A3%81%E5%90%B8%E6%95%88%E5%BA%94+A%E8%82%A1&ots=u_L7ciI0XC&sig=GKr3ND-7SedokpfPx7YAmhrjaXo,unknown,unknown
"Life 3.0: 人工智慧時代, 人類的蛻變與重生",鐵馬克,2018,4,"… ,音樂,電影,軟體服務,著作論述或股 市交易的哪一種?或是找出適合… 他們原本想要在股票市場中大幹一票—畢竟團隊大多數成 員都… 這些研究報告詳細說明了新穎的物理效應和生產技術,工程師 …",a82lPNLc7ZoJ,鐵馬克 - 2018 - books.google.com,[],https://books.google.com/books?hl=zh-CN&lr=&id=1OBiDwAAQBAJ&oi=fnd&pg=PA2&dq=%E6%B6%A8%E8%B7%8C%E5%81%9C+%E7%A3%81%E5%90%B8%E6%95%88%E5%BA%94+A%E8%82%A1&ots=3xS0CyH4Ya&sig=UAR_mtPY09c-FcRqnFIOpzUPjIY,unknown,unknown
金馬獎最佳劇情片分析: 黨國意識與去黨國意識(1962-2009),張瑋,2009,0,"… 九○年代後期,華語電影產業變為一個深具開發潛力的新興市場,將市場的 磁吸效應轉化成與國際… 本文在 分析過[新電影]派於不同時期之各種論述策略後,最後認為除了形成一股集體 力量,對台灣…",cLn8NGwuIw8J,張瑋 - 2009 - irlib.pccu.edu.tw,['https://irlib.pccu.edu.tw/retrieve/58222/gsweb3.pdf'],https://irlib.pccu.edu.tw/handle/987654321/16561,unknown,unknown
女士活得更健康: 專科醫生診症室,林冠愉,2008,0,"… 愛美是女士的天性,在鼓吹瘦即是美的社會風氣渲染下,再 加上明星效應,在過去的二三十年,女士們不分老中青幼,都紛 紛追隨這股瘦身之風,尤其是最近十年.正因為女士們都以瘦身 為人生的一…",z50S8XEdQC0J,林冠愉 - 2008 - books.google.com,[],https://books.google.com/books?hl=zh-CN&lr=&id=kRxaM-YymjcC&oi=fnd&pg=PP11&dq=%E6%B6%A8%E8%B7%8C%E5%81%9C+%E7%A3%81%E5%90%B8%E6%95%88%E5%BA%94+A%E8%82%A1&ots=cfidcmPdxS&sig=Jd8ps7Z9XQzsa6Ag12qqJsO-e8Y,unknown,unknown
上海临港获批建设国家再制造产业示范基地,王延,2015,0,,WOJdkFsr7UUJ,"王延 - 表面工程与再制造, 2015",[],,unknown,unknown
"增强供电企业学习力, 提高员工综合素质",柳全伟,2015,0,,VLAMq0cL6N4J,"柳全伟 - 现代企业文化, 2015",[],,unknown,unknown
