title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
卖空限制与收益可预测性——A 股融资融券制度的证据,郭彪， 刘普阳， 姜圆,2020,11,"… 了A股市场中融券比率与融资回补天数解释和预测股票收益率的能力.实证结果表 明,在存在融券限制条件下,融券比率相比融券回补天数(融券比率/日均换手率)能更好地代表套 利者对股票… ,反转…",Mv0kXJPa8TgJ,"郭彪， 刘普阳， 姜圆 - 金融研究, 2020 - jryj.org.cn",['http://www.jryj.org.cn/CN/article/downloadArticleFile.do?attachType=PDF&id=780'],http://www.jryj.org.cn/CN/abstract/abstract780.shtml,unknown,unknown
中国股票市场可预测性的实证研究,"姜富伟， 凃俊, DE Rapach, JK Strauss， 周国富",2011,21,"… 股票方差(SVR)是A 股市值加权市场投资组合日收益率平方和. 通货膨胀(INF)根据国家统计局… [2] 鲁臻,邹恒甫,2007:《中国股市的惯性与反转效应研究》,《经济研究》第9 期,145-155. [3] 王晓明,…",fcW_4FEOX-sJ,"姜富伟， 凃俊, DE Rapach, JK Strauss， 周国富 - 金融研究, 2011 - mysmu.edu",['http://www.mysmu.edu/faculty/tujun/PredChina_JFRChina2011_workingpaper.pdf'],http://www.mysmu.edu/faculty/tujun/PredChina_JFRChina2011_workingpaper.pdf,unknown,unknown
基于LSTM 网络和投资者情绪的A 股大盘指数可预测性研究,曹雨辰， 林靖澄,2025,0,"… 月4日至2024年12 月2日的A股大盘指数数据,基于财经新闻情感分析构建的投资者情绪指数,提出了一种融合情感特征的 股指预测… 此外,在趋势转折 点处,绿色线条对趋势反转的响应也更加灵敏,…",9J_pwJbK8YUJ,"曹雨辰， 林靖澄 - E-Commerce Letters, 2025 - pdf.hanspub.org",['https://pdf.hanspub.org/ecl_2314218.pdf'],https://pdf.hanspub.org/ecl_2314218.pdf,unknown,unknown
STAR 与ANN 模型: 证券价格非线性动态特征及可预测性研究,苏治， 方明， 李志刚,2008,11,"… 中国市场中上“动量交易 策略”与“反转交易策略”有效性的差异,证明了股价 在中长期上的可预测… 基于盯市策略评价模型的预测能力,把每 个交易日头寸状态分为“股票满仓”和“股票空仓”两 类,给…",F9WnrcthJ0sJ,"苏治， 方明， 李志刚 - 中国管理科学, 2008 - zgglkx.com",['https://www.zgglkx.com/CN/article/downloadArticleFile.do?attachType=PDF&id=13351'],https://www.zgglkx.com/EN/Y2008/V16/I5/9,unknown,unknown
中国股市收益率可预测性的实证检验,王改银,2023,0,"… 股票收益的可预测性研究不仅可以为投 资者提供决策依据,明确企业资本成本,也有利于推动股票市场健康发展. … 股票波动率,定义为沪深300 指数日收益率的平方和 …",yYaAgv5g4YsJ,"王改银 - Finance, 2023 - pdf.hanspub.org",['https://pdf.hanspub.org/FIN20230600000_99460897.pdf'],https://pdf.hanspub.org/FIN20230600000_99460897.pdf,unknown,unknown
基于证券最高价和最低价可预测性的反转交易分析——以沪深300 股指期货为例,陈蒨,2015,0,,JMPSuGu63SQJ,"陈蒨 - 东北财经大学学报, 2015",[],,unknown,unknown
"谁反应过度, 谁反应不足——投资者异质性与收益时间可预测性分析",游家兴,2008,27,,tejhEUl1-owJ,"游家兴 - 金融研究, 2008",[],,unknown,unknown
基金“重仓股” 特征及可预测性研究,朱滔， 李善民,2006,7,,j5YJXN4qeqUJ,"朱滔， 李善民 - 当代财经, 2006",[],,unknown,unknown
A 股个股回报率的惯性与反转,潘莉， 徐建国,2011,46,,zX_AIj1O8BcJ,"潘莉， 徐建国 - 金融研究, 2011",[],,unknown,unknown
基于股价日均线的趋势策略有效性分析,林朝雄， 郑旭,2016,2,,YyYxPu6yXI0J,"林朝雄， 郑旭 - 上海管理科学, 2016",[],,unknown,unknown
