title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Exploring the Effectiveness of Trailing Stop-Loss Strategies for Individual Investors.,"S Dolvin, B Foltice",2023,3,"… Thus, we explore the use of trailing stop-loss (TSL) orders, … , which represent those that began trading with SDPR ETFs in … a clearer picture of actual performance and is more accurate …",EhNKtUxoBCIJ,"S Dolvin, B Foltice - Journal of Beta Investment Strategies, 2023 - openurl.ebsco.com",[],https://openurl.ebsco.com/contentitem/gcd:164287870?sid=ebsco:plink:crawler-gcd&id=ebsco:gcd:164287870&crl=c&jrnl=27716511,unknown,unknown
"Point-in-time backtesting of momentum-trend equity strategies: a formal bias taxonomy, ATR trailing stop analysis, and investor-experience metrics",X Fonseca,2026,2,"… This convention follows the standard academic momentum-portfolio formulation [1,4,14] and produces a conservative estimate of strategy performance relative to a live implementation …",PZZ0iovROnYJ,"X Fonseca - Mathematics, 2026 - mdpi.com",[],https://www.mdpi.com/2227-7390/14/12/2182,unknown,unknown
Risk reduction using trailing stop‐loss rules,"B Dai, BR Marshall, NH Nguyen…",2021,15,… We consider the performance of trailing stop-loss (TSL) rules for US stocks and compare that to a benchmark that incorporates a mean–variance objective function for the 1926–2016 …,lmrcmdOoHY8J,"B Dai, BR Marshall, NH Nguyen… - … Review of Finance, 2021 - Wiley Online Library",['https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=3338243'],https://onlinelibrary.wiley.com/doi/abs/10.1111/irfi.12328,unknown,unknown
Trailing stop-loss and re-entry strategies in Europe,E Duarte,2022,7,"… were employed in a one-year investment period The performance of technical trading rules … , which is consistent with trailing stop-loss rules and re-entry strategies in two of the the …",Omf1Jink4k8J,"E Duarte - European Journal of Business and Management …, 2022 - academia.edu",[],https://www.academia.edu/download/87501252/787.pdf,unknown,unknown
Entwicklung und Optimierung einer Trailing-Stop-Loss Funktion zur dynamischen Absicherung von Kursgewinnen,PE Trutnau Rosales,2026,0,"… Hierfür wurden in Python vier Strategievarianten implementiert: ein prozentualer Trailing Stop, eine ATR-basierte Variante, eine hybride Kombination beider Ansätze sowie eine …",bmvmGmMKNpYJ,PE Trutnau Rosales - 2026 - publiscologne.th-koeln.de,['https://publiscologne.th-koeln.de/files/2830/BA_Trutnau_Rosales_Pablo.pdf'],https://publiscologne.th-koeln.de/files/2830/BA_Trutnau_Rosales_Pablo.pdf,unknown,unknown
Effectiveness of Stop-Loss Trading Strategy VS Buy-And-Hold Strategy.,"MA Teymouri-Boghsani, AA Ataabadi…",2023,4,"… stop-loss (SL1) and trailing stop-loss (SL2) methods were used to calculate the stop-loss and buy-and-hold strategies … , the performance of two investment strategies, buy and hold and …",ayV4wYxzTJAJ,"MA Teymouri-Boghsani, AA Ataabadi… - Iranian Journal of …, 2023 - openurl.ebsco.com",[],https://openurl.ebsco.com/contentitem/gcd:163510290?sid=ebsco:plink:crawler-gcd&id=ebsco:gcd:163510290&crl=c&jrnl=27174131,unknown,unknown
Is the Trailing-Stop Strategy Always Good for Stock Trading?,"YB Fu, ZG Zhang",2012,1,"… To evaluate the performance of such a “trailing stop” strategy, we need to obtain the probability distribution of a set of feasible termination and non-termination states for a given …",dj54U1JXo4MJ,"YB Fu, ZG Zhang - International Journal of Operations Research, 2012 - orstw.org.tw",['http://www.orstw.org.tw/ijor/vol9no3/IJOR2012_vol9_no3_p129_p140.pdf'],http://www.orstw.org.tw/ijor/vol9no3/IJOR2012_vol9_no3_p129_p140.pdf,unknown,unknown
Predicting stock prices using permutation decision trees and strategic trailing,"V Ramraj, N Nagaraj",2025,2,… strategy. The model incorporates various technical indicators and employs hyperparameters such as the trailing stop-… that not only demonstrates reliability and high performance but also …,liuL3p5jC6EJ,"V Ramraj, N Nagaraj - Chaos, Solitons & Fractals, 2025 - Elsevier",['https://arxiv.org/pdf/2504.12828'],https://www.sciencedirect.com/science/article/pii/S0960077925013657,unknown,unknown
Analysis of Ornstein-Uhlenbeck process stopped at maximum drawdown and application to trading strategies with trailing stops,G Temnov,2015,1,"… parameter’s dynamics can be used to improve the strategy’s performance. Figure 3: Four selected trading weeks of EUR/USD from 2014, marking the persistent downward trend …",7bKJRGQsiYIJ,"G Temnov - arXiv preprint arXiv:1507.01610, 2015 - arxiv.org",['https://arxiv.org/pdf/1507.01610'],https://arxiv.org/abs/1507.01610,unknown,unknown
The Evaluation of the Trend-Following Directional Change with the Trailing Stop and Major-Trend-Adjusted Strategies on Algorithmic Trading in the Foreign …,S Paniangtong,2015,1,… trading. We extend the trendfollowing directional-change trading strategy by incorporating ideas of the trailing stop … profitability as well as overall performance. We backtest on historical …,Li3tWU_mfO8J,S Paniangtong - 2015 - bracil.net,['https://bracil.net/finance/papers/Paniangtong-DCtrading-MSc2015.pdf'],https://bracil.net/finance/papers/Paniangtong-DCtrading-MSc2015.pdf,unknown,unknown
