open_date,open_time,close_date,close_time,cycle_type,open_action,close_action,qty,open_price,close_price,gross_pnl,fees,net_pnl,open_score,close_score
2026-06-29,10:35:00,2026-06-29,13:15:00,short_t,PANIC_SELL,BUY_LOW,800,170.3,172.99,-2152.0,411.948,-2563.948,100.0,109.0
2026-07-02,11:13:00,2026-07-02,14:00:00,short_t,SELL_HIGH,BUY_LOW,800,162.64,157.0,4512.0,383.568,4128.432,87.0,108.0
2026-07-06,11:05:00,2026-07-06,13:21:00,short_t,SELL_HIGH,BUY_LOW,800,148.75,149.88,-904.0,358.356,-1262.356,72.0,73.0
2026-07-06,14:54:00,2026-07-07,10:35:00,long_t,BUY_LOW,SELL_HIGH,800,149.78,150.76,784.0,360.648,423.352,88.0,59.0
2026-07-07,10:40:00,2026-07-07,13:05:00,short_t,SELL_HIGH,BUY_LOW,800,151.25,149.26,1592.0,360.612,1231.388,123.0,91.0
2026-07-08,10:18:00,2026-07-08,14:14:00,short_t,SELL_HIGH,BUY_LOW,800,148.49,149.48,-792.0,357.564,-1149.564,69.0,117.0
2026-07-08,14:30:00,2026-07-09,10:34:00,long_t,BUY_LOW,SELL_HIGH,800,148.8,149.49,552.0,357.948,194.052,148.0,59.0
2026-07-10,11:00:00,2026-07-10,11:29:00,short_t,SELL_HIGH,BUY_LOW,800,164.42,162.93,1192.0,392.82,799.18,72.0,131.0
2026-07-13,10:15:00,2026-07-13,11:30:00,short_t,SELL_HIGH,BUY_LOW,800,160.5,156.92,2864.0,380.904,2483.096,84.0,79.0
2026-07-13,13:07:00,2026-07-13,13:22:00,short_t,SELL_HIGH,BUY_LOW,800,159.15,156.98,1736.0,379.356,1356.644,80.0,86.0
2026-07-16,10:04:00,2026-07-16,13:14:00,short_t,PANIC_SELL,BUY_LOW,800,137.1,133.89,2568.0,325.188,2242.812,81.0,66.0
2026-07-16,13:35:00,2026-07-17,10:00:00,long_t,BUY_LOW,PANIC_SELL,800,131.85,122.54,-7448.0,305.268,-7753.268,112.0,58.0
