index_regime_date,index_regime,index_score,index_score_delta,index_gate_advice,index_temp_bucket,index_circuit_state,index_pos_factor,index_policy_reason,t_mode,t_mode_source,t_pos_factor,t_trade_gate,t_reason,t_basis_date,dynamic_qty,qty_source,blocked_by_index_circuit,date,time,code,name,action,score,buy_score,sell_score,price,vwap,notify,notify_threshold,hold_qty,daily_gate,daily_trend_bg,daily_support_name,daily_support_gap,daily_status,reasons,minute_source,daily_context_source
2026-06-29,range,0.0,0.0,normal_t,neutral,normal,1.0,index_csv_missing,long,,,,,,800,position_sizer,False,2026-06-29,14:24:00,000988,华工科技,SELL_HIGH,115.0,-22.0,115.0,176.71,174.67010378622973,True,65,800,overheat,bull,,0.0,ok,回吐空间|RSI超买|布林偏上|区间高位|二次冲高未突破|冲高背离|大跌反抽|强空头优先高抛|日线过热|最优卖点,cache,direct_build
2026-06-30,range,0.0,0.0,normal_t,neutral,normal,1.0,index_csv_missing,long,,,,,,800,position_sizer,False,2026-06-30,10:34:00,000988,华工科技,SELL_HIGH,111.0,-8.0,111.0,184.18,178.2777070477525,True,65,800,overheat,bull,,0.0,ok,回吐空间|盈利空间|长上影|二次冲高未突破|冲高背离|日线过热,cache,direct_build
2026-07-01,range,0.0,0.0,normal_t,neutral,normal,1.0,index_csv_missing,long,,,,,,800,position_sizer,False,2026-07-01,14:04:00,000988,华工科技,SELL_HIGH,109.0,45.0,109.0,174.54,179.638710728929,True,65,800,supportive,bull,MA5,0.002297002411852402,ok,RSI超买|布林偏上|多均线压力(MA5/MA10)|强空头优先高抛|最优卖点,cache,direct_build
2026-07-02,range,0.0,0.0,normal_t,neutral,normal,1.0,index_csv_missing,long,,,,,,800,position_sizer,False,2026-07-02,10:34:00,000988,华工科技,SELL_HIGH,87.0,-17.0,87.0,163.11,162.35329444101262,True,65,800,supportive,bull,MA20,0.005739051456402354,ok,回吐空间|RSI超买|布林偏上|重要压力受阻(MA20)|多均线压力(MA20)|下跌趋势高抛|强空头优先高抛,cache,direct_build
2026-07-02,range,0.0,0.0,normal_t,neutral,normal,1.0,index_csv_missing,long,,,,,,800,position_sizer,False,2026-07-02,11:14:00,000988,华工科技,SELL_HIGH,115.0,-25.0,115.0,162.8,162.37716974275003,True,65,800,supportive,bull,MA30,0.005996016387601016,ok,回吐空间|RSI超买|布林偏上|重要压力受阻(MA20)|多均线压力(MA20)|下跌趋势高抛|强空头优先高抛|最优卖点,cache,direct_build
2026-07-03,range,0.0,0.0,normal_t,neutral,normal,1.0,index_csv_missing,long,,,,,,800,position_sizer,False,2026-07-03,10:14:00,000988,华工科技,SELL_HIGH,87.0,-3.0,87.0,154.53,153.33106111622715,True,65,800,risk,bull,,0.0,ok,回吐空间|长上影|双顶保护|强空头优先高抛|日线破位风险,cache,direct_build
2026-07-07,range,0.0,0.0,normal_t,neutral,normal,1.0,index_csv_missing,long,,,,,,800,position_sizer,False,2026-07-07,10:54:00,000988,华工科技,SELL_HIGH,59.0,0.0,59.0,151.84,150.70330930859006,False,65,800,risk,base,MA5,0.033161835871835355,ok,回吐空间|布林偏上|长上影|强空头优先高抛|日线破位风险,cache,direct_build
2026-07-08,range,0.0,0.0,normal_t,neutral,normal,1.0,index_csv_missing,long,,,,,,800,position_sizer,False,2026-07-08,10:34:00,000988,华工科技,SELL_HIGH,59.0,4.0,59.0,149.56,149.26666895102323,False,65,800,risk,base,MA5,0.019921363040629043,ok,回吐空间|MACD拐头|短期压力受阻(MA5)|多均线压力(MA5)|强空头优先高抛|日线破位风险,cache,direct_build
2026-07-09,range,0.0,0.0,normal_t,neutral,normal,1.0,index_csv_missing,long,,,,,,800,position_sizer,False,2026-07-09,10:34:00,000988,华工科技,SELL_HIGH,76.0,11.0,76.0,149.49,148.98830262231596,True,65,800,risk,base,MA5,0.008989300346048251,ok,回吐空间|RSI超买|布林偏上|短期压力受阻(MA5)|多均线压力(MA5)|强空头优先高抛|日线破位风险,cache,direct_build
2026-07-09,range,0.0,0.0,normal_t,neutral,normal,1.0,index_csv_missing,long,,,,,,800,position_sizer,False,2026-07-09,13:04:00,000988,华工科技,SELL_HIGH,146.0,-12.0,146.0,150.5,149.2329572377813,True,65,800,risk,base,MA5,0.0036279858058365674,ok,回吐空间|MACD拐头|长上影|短期压力受阻(MA5)|二次冲高未突破|多均线压力(MA5)|强空头优先高抛|日线破位风险,cache,direct_build
2026-07-10,range,0.0,0.0,normal_t,neutral,normal,1.0,index_csv_missing,long,,,,,,800,position_sizer,False,2026-07-10,13:04:00,000988,华工科技,SELL_HIGH,67.0,45.0,67.0,162.58,165.81377398564334,True,65,800,supportive,base,MA10,0.00500089632876101,ok,长上影|EMA转弱|重要压力受阻(MA20)|多均线压力(MA10/MA20/MA30)|强空头优先高抛,cache,direct_build
2026-07-13,range,0.0,0.0,normal_t,neutral,normal,1.0,index_csv_missing,long,,,,,,800,position_sizer,False,2026-07-13,09:54:00,000988,华工科技,SELL_HIGH,64.0,15.0,64.0,159.67,159.91961505001828,False,75,800,risk,base,MA10,0.0005389011429716282,ok,长上影|EMA转弱|重要压力受阻(MA30)|多均线压力(MA10/MA30)|冲高背离|强空头优先高抛|日线破位风险,cache,direct_build
2026-07-14,range,0.0,0.0,normal_t,neutral,normal,1.0,index_csv_missing,long,,,,,,800,position_sizer,False,2026-07-14,14:24:00,000988,华工科技,SELL_HIGH,66.0,20.0,66.0,156.55,150.92741686145405,True,65,800,risk,base,MA10,0.002016193554581407,ok,回吐空间|盈利空间|长上影|EMA转弱|多均线压力(MA5/MA10/MA30)|成本逼近保护|强空头优先高抛|日线破位风险,cache,direct_build
2026-07-15,range,0.0,0.0,normal_t,neutral,normal,1.0,index_csv_missing,long,,,,,,800,position_sizer,False,2026-07-15,13:44:00,000988,华工科技,SELL_HIGH,132.0,15.0,132.0,150.94,151.695029215692,True,65,800,risk,base,MA60,0.009130354361153782,ok,RSI超买|布林偏上|短期压力受阻(MA10)|双顶保护|多均线压力(MA10)|强空头优先高抛|日线破位风险|最优卖点,cache,direct_build
2026-07-15,range,0.0,0.0,normal_t,neutral,normal,1.0,index_csv_missing,long,,,,,,800,position_sizer,False,2026-07-15,14:24:00,000988,华工科技,SELL_HIGH,86.0,45.0,86.0,147.38,151.4295147031515,True,65,800,risk,base,MA60,0.014279503728722812,ok,量能确认|长上影|EMA转弱|重要压力受阻(MA60)|多均线压力(MA60)|强空头优先高抛|日线破位风险,cache,direct_build
2026-07-16,range,0.0,0.0,normal_t,neutral,normal,1.0,index_csv_missing,long,,,,,,800,position_sizer,False,2026-07-16,10:14:00,000988,华工科技,PANIC_SELL,82.0,-32.0,82.0,136.95,133.93109803864598,True,65,800,risk,downtrend,,0.0,ok,深套止损最终防线|回吐空间|盈利空间|RSI超买|二次冲高未突破|强空头优先高抛|日线破位风险,cache,direct_build
