ts_code,time,close,open,high,low,volume,amount,date
000988.SZ,2025-06-20 09:30:00,43.71,43.73,43.76,43.71,86300.0,3774917.0,2025-06-20
000988.SZ,2025-06-20 09:31:00,43.89,43.76,44.0,43.76,424100.0,18620560.0,2025-06-20
000988.SZ,2025-06-20 09:32:00,43.8,43.89,43.89,43.75,170500.0,7465695.0,2025-06-20
000988.SZ,2025-06-20 09:33:00,43.92,43.8,43.94,43.8,293700.0,12891109.0,2025-06-20
000988.SZ,2025-06-20 09:34:00,43.88,43.86,43.91,43.82,141000.0,6183995.0,2025-06-20
000988.SZ,2025-06-20 09:35:00,44.06,43.88,44.08,43.83,276100.0,12139549.0,2025-06-20
000988.SZ,2025-06-20 09:36:00,44.14,44.03,44.18,44.01,271900.0,11993172.0,2025-06-20
000988.SZ,2025-06-20 09:37:00,44.28,44.14,44.31,44.14,405000.0,17907292.0,2025-06-20
000988.SZ,2025-06-20 09:38:00,44.36,44.26,44.36,44.24,279500.0,12382617.0,2025-06-20
000988.SZ,2025-06-20 09:39:00,44.18,44.36,44.39,44.18,343100.0,15199394.0,2025-06-20
000988.SZ,2025-06-20 09:40:00,44.25,44.2,44.26,44.16,109200.0,4826954.0,2025-06-20
000988.SZ,2025-06-20 09:41:00,44.25,44.23,44.28,44.19,106500.0,4712061.0,2025-06-20
000988.SZ,2025-06-20 09:42:00,44.42,44.23,44.5,44.22,410500.0,18227124.0,2025-06-20
000988.SZ,2025-06-20 09:43:00,44.42,44.38,44.48,44.38,189100.0,8405417.0,2025-06-20
000988.SZ,2025-06-20 09:44:00,44.32,44.4,44.41,44.29,102100.0,4529000.0,2025-06-20
000988.SZ,2025-06-20 09:45:00,44.25,44.29,44.31,44.25,80200.0,3550899.0,2025-06-20
000988.SZ,2025-06-20 09:46:00,44.11,44.2,44.2,44.06,140700.0,6211302.0,2025-06-20
000988.SZ,2025-06-20 09:47:00,44.08,44.09,44.11,44.02,130400.0,5745980.0,2025-06-20
000988.SZ,2025-06-20 09:48:00,44.11,44.07,44.14,44.05,76100.0,3356174.0,2025-06-20
000988.SZ,2025-06-20 09:49:00,44.04,44.05,44.05,44.03,94000.0,4142138.0,2025-06-20
000988.SZ,2025-06-20 09:50:00,44.01,44.04,44.04,44.01,84600.0,3724065.0,2025-06-20
000988.SZ,2025-06-20 09:51:00,43.95,44.0,44.0,43.95,221400.0,9742760.0,2025-06-20
000988.SZ,2025-06-20 09:52:00,43.89,43.94,43.94,43.87,64500.0,2831721.0,2025-06-20
000988.SZ,2025-06-20 09:53:00,43.78,43.85,43.85,43.76,126200.0,5528777.0,2025-06-20
000988.SZ,2025-06-20 09:54:00,43.77,43.76,43.81,43.76,155800.0,6823382.0,2025-06-20
000988.SZ,2025-06-20 09:55:00,43.66,43.77,43.77,43.65,184500.0,8065146.0,2025-06-20
000988.SZ,2025-06-20 09:56:00,43.76,43.67,43.77,43.67,49200.0,2151012.0,2025-06-20
000988.SZ,2025-06-20 09:57:00,43.85,43.75,43.85,43.75,153700.0,6733570.0,2025-06-20
000988.SZ,2025-06-20 09:58:00,43.85,43.84,43.87,43.82,59300.0,2600030.0,2025-06-20
000988.SZ,2025-06-20 09:59:00,43.85,43.85,43.86,43.82,64100.0,2810346.0,2025-06-20
