date,regime,regime_name,score,score_raw,trend_score,env_score,days_in_regime,gate_advice,degraded,fired_rules,note
2026-02-03,uni_down,单边下行,-25.96,-25.96,-16.01,-36.24,1,defensive_t,"breadth,nhnl",SHARP_DOWN,struct_down_ma5(below5=3)
2026-02-04,range,横盘震荡,-10.4,5.16,-10.3,35.41,1,normal_t,"breadth,nhnl",R0|R1,exit_down(S=-10.4>-15)
2026-02-05,range,横盘震荡,-10.8,-11.2,-10.43,-27.71,2,normal_t,"breadth,nhnl",R0|R1,hold
2026-02-06,uni_up,单边上涨,-6.33,-10.85,-11.93,-24.12,1,trend_up_hold,"breadth,nhnl",R0|R1,struct_up_ma5(above5=3)
2026-02-09,range,横盘震荡,-0.71,-10.1,-10.44,-23.45,1,normal_t,"breadth,nhnl",STRUCTURE_STRONG|R0|R1,exit_up(S=-0.7<15)
2026-02-10,uni_up,单边上涨,3.43,-17.43,-12.07,-22.51,1,trend_up_hold,"breadth,nhnl",STRUCT_UP_FULL_MA5|STRUCTURE_STRONG|R1|SHARP_UP,struct_up_full_ma5(full_above5=2)
2026-02-11,range,横盘震荡,14.08,24.72,24.93,20.33,1,normal_t,"breadth,nhnl",STRUCTURE_STRONG,exit_up(S=14.1<15)
2026-02-12,uni_up,单边上涨,20.42,26.76,27.85,20.93,1,trend_up_hold,"breadth,nhnl",STRUCT_UP_FULL_MA5|STRUCTURE_STRONG,struct_up_full_ma5(full_above5=4)
2026-02-13,range,横盘震荡,-31.23,-31.23,-36.05,-19.34,1,normal_t,"breadth,nhnl",K_DOWN|R1|R2|SHARP_DOWN,r2_exit_up(close=4082.07<MA10=4092.67)
2026-02-16,range,横盘震荡,-31.23,-31.23,-36.05,-19.34,1,normal_t,"breadth,nhnl",K_DOWN|R1|R2|SHARP_DOWN,r2_exit_up(close=4082.07<MA10=4092.67)
2026-02-17,range,横盘震荡,-31.23,-31.23,-36.05,-19.34,1,normal_t,"breadth,nhnl",K_DOWN|R1|R2|SHARP_DOWN,r2_exit_up(close=4082.07<MA10=4092.67)
2026-02-18,range,横盘震荡,-31.23,-31.23,-36.05,-19.34,1,normal_t,"breadth,nhnl",K_DOWN|R1|R2|SHARP_DOWN,r2_exit_up(close=4082.07<MA10=4092.67)
