date,regime,regime_name,score_S,z_S,top3_avg,z_top3,top3_names,k_day_type,index_pct,dt_count,systemic_risk,decision_summary
2026-07-13,uni_down,单边下行,-56.65,-1.642,2.34,-1.158,半导体|商业航天|液冷,,-2.06,172,1,short×9
2026-07-14,uni_down,单边下行,-51.29,-1.473,2.08,-1.269,HVDC|液冷|半导体,,1.36,22,0,short×7/long×2
2026-07-15,uni_down,单边下行,-59.11,-1.719,2.07,-1.274,中药|液冷|光通信,,-0.29,31,1,short×9
2026-07-16,uni_down,单边下行,-55.6,-1.609,2.04,-1.286,中药|商业航天|液冷,,-1.85,33,1,short×9
2026-07-17,uni_down,单边下行,-56.12,-1.625,1.82,-1.38,商业航天|液冷|中药,,-3.05,192,1,short×9
2026-07-20,uni_down,单边下行,-50.43,-1.446,1.66,-1.449,商业航天|光通信|液冷,,-0.41,14,0,hold×9
2026-07-21,range,横盘震荡,-43.12,,,,,,,47,1,normal_t
2026-07-22,uni_down,单边下行,-28.92,-0.77,2.57,-1.06,MLCC|云计算|光通信,,-0.05,5,0,short×5
2026-07-23,range,横盘震荡,-38.75,-1.079,2.5,-1.09,MLCC|光通信|半导体,,0.25,1,0,short×4/long×1
2026-07-24,uni_down,单边下行,-41.53,-1.167,2.16,-1.235,MLCC|光通信|半导体,,-1.45,3,0,short×5
2026-07-27,uni_down,单边下行,-46.44,-1.321,2.64,-1.03,MLCC|光通信|PCB,,1.12,6,0,long×2/short×3
2026-07-28,uni_down,单边下行,-58.76,-1.708,2.62,-1.038,MLCC|光通信|半导体,,-1.5,51,1,short×5
2026-07-29,uni_down,单边下行,-20.94,-0.519,2.65,-1.026,MLCC|光通信|半导体,,0.23,10,0,short×4/long×1
2026-08-05,uni_down,单边下行,-24.24,-0.623,3.89,-0.496,光通信|云计算|PCB,,1.41,1,0,short×7
2026-08-06,range,横盘震荡,-20.58,-0.508,3.85,-0.513,光通信|PCB|算力金属,,0.46,1,0,long×8
2026-08-07,uni_up,单边上涨,-22.31,-0.563,4.04,-0.432,PCB|光通信|液冷,,1.02,5,0,long×8
2026-08-10,range,横盘震荡,-6.61,-0.069,3.71,-0.573,PCB|光通信|算力金属,,0.5,5,0,long×8
2026-08-11,uni_up,单边上涨,-8.53,-0.129,2.85,-0.94,PCB|光通信|液冷,,-0.75,1,0,long×8
2026-08-12,range,横盘震荡,-8.56,-0.13,3.16,-0.808,光通信|PCB|液冷,,0.3,0,0,long×7/short×1
2026-08-13,uni_down,单边下行,4.96,0.294,3.75,-0.556,光通信|PCB|算力租赁,,-0.06,1,0,short×8
2026-08-14,range,横盘震荡,5.03,2.018,2.91,-0.915,光通信|PCB|液冷,,0.01,8,0,long×6/short×1
