代码,名称,行业名称
300762,上海瀚讯,国防军工
688239,航宇科技,国防军工
301306,西测测试,国防军工
301517,陕西华达,国防军工
605123,派克新材,国防军工
002025,航天电器,国防军工
688629,华丰科技,国防军工
300474,景嘉微,国防军工
002297,博云新材,国防军工
002465,海格通信,国防军工
001270,*ST铖昌,国防军工
002977,*ST天箭,国防军工
600118,中国卫星,国防军工
688682,霍莱沃,国防军工
688510,航亚科技,国防军工
002111,威海广泰,国防军工
300123,ST亚光,国防军工
688132,邦彦技术,国防军工
300900,广联航空,国防军工
688523,航天环宇,国防军工
300045,华力创通,国防军工
600879,航天电子,国防军工
688281,华秦科技,国防军工
688053,ST思科瑞,国防军工
002829,星网宇达,国防军工
688776,国光电气,国防军工
002414,高德红外,国防军工
002023,海特高新,国防军工
002413,雷科防务,国防军工
688175,高凌信息,国防军工
601698,中国卫通,国防军工
688122,西部超导,国防军工
688685,迈信林,国防军工
002189,中光学,国防军工
300696,爱乐达,国防军工
003009,中天火箭,国防军工
688272,富吉瑞,国防军工
300581,晨曦航空,国防军工
301213,观想科技,国防军工
920642,通易航天,国防军工
920008,成电光信,国防军工
688081,兴图新科,国防军工
688708,佳驰科技,国防军工
600391,航发科技,国防军工
000561,烽火电子,国防军工
002151,北斗星通,国防军工
688311,盟升电子,国防军工
300177,中海达,国防军工
603267,鸿远电子,国防军工
603712,七一二,国防军工
301682,宏明电子,国防军工
000547,航天发展,国防军工
000738,航发控制,国防军工
688636,智明达,国防军工
600316,洪都航空,国防军工
600765,中航重机,国防军工
300775,三角防务,国防军工
301592,六九一二,国防军工
002446,盛路通信,国防军工
300447,全信股份,国防军工
600893,航发动力,国防军工
301586,佳力奇,国防军工
688586,江航装备,国防军工
002389,航天彩虹,国防军工
688237,超卓航科,国防军工
688522,纳睿雷达,国防军工
600855,航天长峰,国防军工
688818,电科蓝天,国防军工
300034,钢研高纳,国防军工
600990,四创电子,国防军工
002383,合众思壮,国防军工
688297,中无人机,国防军工
301050,雷电微力,国防军工
002651,利君股份,国防军工
300629,新劲刚,国防军工
688563,航材股份,国防军工
300424,航新科技,国防军工
688788,科思科技,国防军工
688552,航天南湖,国防军工
300719,安达维尔,国防军工
002935,天奥电子,国防军工
603261,*ST立航,国防军工
002625,光启技术,国防军工
002179,中航光电,国防军工
688084,晶品特装,国防军工
300699,光威复材,国防军工
300722,新余国科,国防军工
688002,睿创微纳,国防军工
301302,华如科技,国防军工
920006,晟楠科技,国防军工
300397,天和防务,国防军工
600862,中航高科,国防军工
002985,北摩高科,国防军工
600372,中航机载,国防军工
688287,*ST观典,国防军工
603678,火炬电子,国防军工
000768,中航西飞,国防军工
300726,宏达电子,国防军工
600562,国睿科技,国防军工
002338,奥普光电,国防军工
302132,中航成飞,国防军工
300101,振芯科技,国防军工
688375,国博电子,国防军工
600760,中航沈飞,国防军工
301571,国科天成,国防军工
688282,理工导航,国防军工
600590,泰豪科技,国防军工
300777,中简科技,国防军工
301696,三瑞智能,国防军工
600038,中直股份,国防军工
688439,振华风光,国防军工
300252,金信诺,国防军工
