代码,市场,板块,名称,上市日期,类别
601123,SH,主板,N马矿,20260901,2026新股
688835,SH,主板,高凯技术,20260825,2026新股
688836,SH,主板,宇树科技,20260819,2026新股
688826,SH,主板,频准激光,20260818,2026新股
688828,SH,主板,国仪公司,20260811,2026新股
603468,SH,主板,津富士达,20260806,2026新股
688825,SH,主板,长鑫科技,20260727,2026新股
688806,SH,主板,泰诺麦博,20260721,2026新股
688797,SH,主板,臻宝科技,20260624,2026新股
301697,SZ,创业板,N贝特利,2026-09-01,2026新股
301655,SZ,创业板,绿控传动,2026-08-20,2026新股
301717,SZ,创业板,超纯应材,2026-08-11,2026新股
301707,SZ,创业板,展芯股份,2026-08-07,2026新股
001232,SZ,主板,嘉立创,2026-08-04,2026新股
301677,SZ,创业板,欣兴工具,2026-07-30,2026新股
301583,SZ,创业板,托伦斯,2026-07-10,2026新股
001248,SZ,主板,华润新能源,2026-07-02,2026新股
001399,SZ,主板,惠科股份,2026-06-26,2026新股
688646,SH,主板,逸飞激光,20230728,老股遗漏
688496,SH,主板,*ST清越,20221228,ST/退
688184,SH,主板,ST帕瓦,20220919,ST/退
688053,SH,主板,ST思科瑞,20220708,ST/退
603272,SH,主板,*ST联翔,20220520,ST/退
603261,SH,主板,立航科技,20220315,老股遗漏
301139,SZ,创业板,*ST元道,2022-07-08,ST/退
688622,SH,主板,*ST禾信,20210913,ST/退
688076,SH,主板,ST诺泰,20210520,ST/退
688201,SH,主板,ST信安,20210421,ST/退
301030,SZ,创业板,*ST仕净,2021-07-22,ST/退
003032,SZ,主板,传智教育,2021-01-12,老股遗漏
605336,SH,主板,*ST帅电,20201019,ST/退
605199,SH,主板,ST葫芦娃,20200710,ST/退
002977,SZ,主板,*ST天箭,2020-03-17,ST/退
688033,SH,主板,*ST天宜,20190722,ST/退
300594,SZ,创业板,ST朗进,2019-06-21,ST/退
002932,SZ,主板,*ST明德,2018-07-10,ST/退
603922,SH,主板,ST金鸿顺,20171023,ST/退
603378,SH,主板,*ST亚士,20170928,ST/退
603813,SH,主板,原尚股份,20170918,老股遗漏
603359,SH,主板,*ST东珠,20170901,ST/退
603557,SH,主板,*ST起步,20170818,ST/退
603721,SH,主板,中广天择,20170811,老股遗漏
603825,SH,主板,ST华扬,20170802,ST/退
603595,SH,主板,ST东尼,20170712,ST/退
603580,SH,主板,艾艾精工,20170525,老股遗漏
603517,SH,主板,ST绝味,20170317,ST/退
603429,SH,主板,*ST集友,20170124,ST/退
300716,SZ,创业板,*ST泉为,2017-11-09,ST/退
002883,SZ,主板,*ST中设,2017-06-20,ST/退
002872,SZ,主板,ST天圣,2017-05-19,ST/退
002856,SZ,主板,*ST美芝,2017-03-20,ST/退
002848,SZ,主板,高斯贝尔,2017-02-13,老股遗漏
603389,SH,主板,亚振家居,20161215,老股遗漏
603559,SH,主板,中通国脉,20161202,老股遗漏
603189,SH,主板,*ST网达,20160914,ST/退
603959,SH,主板,ST百利,20160517,ST/退
603822,SH,主板,ST嘉澳,20160428,ST/退
603377,SH,主板,ST东时,20160205,ST/退
002822,SZ,主板,ST中装,2016-11-29,ST/退
002816,SZ,主板,*ST和科,2016-10-25,ST/退
300555,SZ,创业板,ST路通,2016-10-18,ST/退
300527,SZ,创业板,ST应急,2016-08-05,ST/退
300506,SZ,创业板,名家汇,2016-03-24,老股遗漏
002789,SZ,主板,*ST建艺,2016-03-11,ST/退
603398,SH,主板,*ST沐邦,20151209,ST/退
603838,SH,主板,*ST四通,20150701,ST/退
603718,SH,主板,*ST海利,20150515,ST/退
603789,SH,主板,ST星农,20150427,ST/退
603021,SH,主板,*ST华鹏,20150423,ST/退
603869,SH,主板,ST智知,20150326,ST/退
603729,SH,主板,ST龙韵,20150324,ST/退
603828,SH,主板,*ST利达,20150226,ST/退
300472,SZ,创业板,*ST新元,2015-06-11,ST/退
002762,SZ,主板,金发拉比,2015-06-10,老股遗漏
300477,SZ,创业板,ST合纵,2015-06-10,ST/退
300462,SZ,创业板,ST华铭,2015-05-27,ST/退
300430,SZ,创业板,*ST益通,2015-03-19,ST/退
300419,SZ,创业板,ST浩丰,2015-01-22,ST/退
002731,SZ,主板,*ST萃华,2014-11-04,ST/退
300396,SZ,创业板,ST迪瑞,2014-09-10,ST/退
002726,SZ,主板,ST龙大,2014-06-26,ST/退
300385,SZ,创业板,ST雪浪,2014-06-26,ST/退
002713,SZ,主板,东易日盛,2014-02-19,老股遗漏
002717,SZ,主板,*ST岭南,2014-02-19,ST/退
002719,SZ,主板,ST麦趣,2014-01-28,ST/退
603008,SH,主板,ST喜临门,20120717,ST/退
002694,SZ,主板,*ST顾地,2012-08-16,ST/退
002691,SZ,主板,*ST冀凯,2012-07-31,ST/退
300338,SZ,创业板,*ST开元,2012-07-26,ST/退
002689,SZ,主板,ST远智,2012-07-17,ST/退
300326,SZ,创业板,ST凯利,2012-06-13,ST/退
300311,SZ,创业板,任子行,2012-04-25,老股遗漏
300313,SZ,创业板,天山生物,2012-04-25,老股遗漏
300301,SZ,创业板,ST长方,2012-03-21,ST/退
300295,SZ,创业板,*ST三六五,2012-03-15,ST/退
002656,SZ,主板,摩登大道,2012-02-28,老股遗漏
002650,SZ,主板,ST加加,2012-01-06,ST/退
601010,SH,主板,ST文峰,20110603,ST/退
002634,SZ,主板,*ST棒杰,2011-12-05,ST/退
002592,SZ,主板,ST八菱,2011-11-11,ST/退
002630,SZ,主板,*ST华西,2011-11-11,ST/退
002620,SZ,主板,*ST瑞和,2011-09-29,ST/退
300245,SZ,创业板,ST天玑,2011-07-19,ST/退
002598,SZ,主板,ST章鼓,2011-07-07,ST/退
300237,SZ,创业板,ST美晨,2011-06-29,ST/退
002586,SZ,主板,围海股份,2011-06-02,老股遗漏
300225,SZ,创业板,金力泰,2011-05-31,老股遗漏
002581,SZ,主板,*ST未名,2011-05-20,ST/退
300211,SZ,创业板,*ST亿通,2011-05-05,ST/退
300205,SZ,创业板,*ST天喻,2011-04-21,ST/退
002569,SZ,主板,*ST步森,2011-04-12,ST/退
300198,SZ,创业板,*ST纳川,2011-04-07,ST/退
002547,SZ,主板,*ST春兴,2011-02-18,ST/退
300175,SZ,创业板,朗源股份,2011-02-15,老股遗漏
300173,SZ,创业板,ST福能,2011-02-01,ST/退
002542,SZ,主板,*ST中岩,2011-01-28,ST/退
300167,SZ,创业板,ST迪威迅,2011-01-25,ST/退
002538,SZ,主板,ST司特,2011-01-18,ST/退
300159,SZ,创业板,新研股份,2011-01-07,老股遗漏
601718,SH,主板,ST际华,20100816,ST/退
300152,SZ,创业板,*ST动力,2010-12-29,ST/退
002528,SZ,主板,*ST英飞,2010-12-24,ST/退
002529,SZ,主板,海源复材,2010-12-24,老股遗漏
300147,SZ,创业板,*ST香雪,2010-12-15,ST/退
002501,SZ,主板,*ST利源,2010-11-17,ST/退
002496,SZ,主板,辉丰股份,2010-11-09,老股遗漏
002485,SZ,主板,ST雪发,2010-10-15,ST/退
300125,SZ,创业板,聆达股份,2010-10-13,老股遗漏
300096,SZ,创业板,ST易联众,2010-07-28,ST/退
002431,SZ,主板,ST棕榈,2010-06-10,ST/退
002424,SZ,主板,ST百灵,2010-06-03,ST/退
300076,SZ,创业板,*ST宁视,2010-04-30,ST/退
300068,SZ,创业板,ST南都,2010-04-21,ST/退
300044,SZ,创业板,*ST赛为,2010-01-20,ST/退
002323,SZ,主板,*ST雅博,2009-12-18,ST/退
002306,SZ,主板,ST云网,2009-11-11,ST/退
002305,SZ,主板,*ST南置,2009-11-06,ST/退
300020,SZ,创业板,ST银江,2009-10-30,ST/退
300027,SZ,创业板,ST华谊,2009-10-30,ST/退
002289,SZ,主板,宇顺电子,2009-09-03,老股遗漏
002253,SZ,主板,川大智胜,2008-06-23,老股遗漏
002227,SZ,主板,*ST特迅,2008-05-06,ST/退
002214,SZ,主板,大立科技,2008-02-18,老股遗漏
002211,SZ,主板,ST宏达,2008-02-01,ST/退
002207,SZ,主板,*ST准油,2008-01-28,ST/退
002200,SZ,主板,交投生态,2007-12-21,老股遗漏
002198,SZ,主板,ST嘉应,2007-12-18,ST/退
002193,SZ,主板,ST如意,2007-12-07,ST/退
002175,SZ,主板,*ST东智,2007-10-12,ST/退
002168,SZ,主板,ST惠程,2007-09-19,ST/退
002109,SZ,主板,ST兴化,2007-01-26,ST/退
002102,SZ,主板,ST能特,2006-12-29,ST/退
002082,SZ,主板,ST万邦,2006-11-20,ST/退
002058,SZ,主板,紫竹高科,2006-08-02,老股遗漏
002055,SZ,主板,ST得润,2006-07-25,ST/退
600965,SH,主板,*ST福成,20040713,ST/退
600491,SH,主板,ST龙元,20040524,ST/退
600543,SH,主板,*ST莫高,20040324,ST/退
002024,SZ,主板,ST易购,2004-07-21,ST/退
002005,SZ,主板,德豪润达,2004-06-25,老股遗漏
600340,SH,主板,*ST华幸,20031230,ST/退
600476,SH,主板,*ST湘邮,20031210,ST/退
600423,SH,主板,*ST柳化,20030717,ST/退
600370,SH,主板,*ST三房,20030306,ST/退
600537,SH,主板,*ST亿晶,20030123,ST/退
600525,SH,主板,长园集团,20021202,老股遗漏
600581,SH,主板,*ST八钢,20020816,ST/退
600568,SH,主板,ST中珠,20010518,ST/退
600381,SH,主板,*ST春天,20010508,ST/退
600365,SH,主板,ST通葡,20010115,ST/退
600302,SH,主板,ST标准,20001213,ST/退
600337,SH,主板,ST美克,20001127,ST/退
600243,SH,主板,*ST海华,20001120,ST/退
600265,SH,主板,*ST景谷,20000825,ST/退
600289,SH,主板,ST信通,20000720,ST/退
600238,SH,主板,ST椰岛,20000120,ST/退
000488,SZ,主板,ST晨鸣,2000-11-20,ST/退
000972,SZ,主板,中基健康,2000-09-26,老股遗漏
600239,SH,主板,ST云城,19991202,ST/退
000929,SZ,主板,兰州黄河,1999-06-23,老股遗漏
000911,SZ,主板,*ST广糖,1999-05-27,ST/退
000909,SZ,主板,*ST数源,1999-05-07,ST/退
000903,SZ,主板,ST云动,1999-04-15,ST/退
000908,SZ,主板,石药景峰,1999-02-03,老股遗漏
600187,SH,主板,*ST国中,19981111,ST/退
600169,SH,主板,ST太重,19980904,ST/退
600180,SH,主板,*ST瑞茂,19980703,ST/退
600165,SH,主板,宁科生物,19980529,老股遗漏
600136,SH,主板,ST明诚,19980303,ST/退
600119,SH,主板,*ST长投,19980115,ST/退
000078,SZ,主板,ST海王,1998-12-18,ST/退
000820,SZ,主板,神雾节能,1998-06-30,老股遗漏
000826,SZ,主板,*ST启环,1998-02-25,ST/退
600107,SH,主板,*ST尔雅,19971106,ST/退
600084,SH,主板,*ST尼雅,19970711,ST/退
600082,SH,主板,ST海泰,19970620,ST/退
600080,SH,主板,ST金花,19970612,ST/退
600079,SH,主板,ST人福,19970606,ST/退
000793,SZ,主板,ST华闻,1997-07-29,ST/退
000838,SZ,主板,*ST发展,1997-06-26,ST/退
000752,SZ,主板,*ST西发,1997-06-25,ST/退
000736,SZ,主板,中交发展,1997-04-25,老股遗漏
000711,SZ,主板,京蓝科技,1997-04-11,老股遗漏
000691,SZ,主板,亚太实业,1997-02-28,老股遗漏
000698,SZ,主板,ST沈化,1997-02-20,ST/退
600777,SH,主板,新潮能源,19961121,老股遗漏
600759,SH,主板,ST洲际,19961008,ST/退
600753,SH,主板,ST海钦,19960927,ST/退
600734,SH,主板,*ST实达,19960808,ST/退
600730,SH,主板,*ST高科,19960726,ST/退
600735,SH,主板,ST新华锦,19960726,ST/退
600892,SH,主板,大晟文化,19960315,老股遗漏
000677,SZ,主板,ST海龙,1996-12-26,ST/退
000669,SZ,主板,ST金鸿,1996-12-10,ST/退
000656,SZ,主板,金科股份,1996-11-28,老股遗漏
000639,SZ,主板,ST西王,1996-11-26,ST/退
000632,SZ,主板,ST三木,1996-11-21,ST/退
000615,SZ,主板,*ST美谷,1996-10-16,ST/退
000609,SZ,主板,*ST中迪,1996-10-10,ST/退
000610,SZ,主板,*ST西旅,1996-09-26,ST/退
000595,SZ,主板,新能股份,1996-04-19,老股遗漏
000010,SZ,主板,*ST美丽,1995-10-27,ST/退
600818,SH,主板,ST中路,19940128,ST/退
600678,SH,主板,ST金顶,19931008,ST/退
600624,SH,主板,ST复华,19930105,ST/退
000504,SZ,主板,南华生物,1992-12-08,老股遗漏
000016,SZ,主板,*ST康佳A,1992-03-27,ST/退
